Gondi_Sentence	Telugu_Sentence
మాతరిక్ ముకేరింగ్ మొసొక్‌నగ కెరంతంగ్	ముసలి ఆడవారు ముక్కుకు ముక్కెర తొడుగుతారు
ముగూస్ తరాసున్ తన్వ తొడ్డె టుక్లైంగ్ కీంత	ముంగీస పామును తననోటితో ముక్కలు చేస్తుంది
నర్కక్ సమ్దిర్ ముచ్చి నర్మంతేర్	రాత్రి పూట అందరు బట్టలు కప్పి పడుకుంటారు
నీ ముచ్చుక్ మొమొట్ సొన్నొం	నీ తప్ప మేము వెళ్ళలేము
మాత్రలీర్ నర్కక్ నరుమ్నెకే ముడీయంతేర్	ముసలివారు నిద్రపోయెటప్పుడు బుర్లు గొట్టుతారు
నొవ్రి నొవ్రాల్ మర్మంగ్ ఆతెకే హాటుమ్నె బొట్టనగ ముద్దంగ్ కెర్రె దాంతేర్	వధువు, వరుడు పెండ్లి అయ్యాక అంగడికి వెళ్ళి ఉంగరములు తొడుగుతారు
రండ్ మూంద్ దియంగ్ దుమ్ పిర్వాతెకే తాన్ ముసూర్ ఇంతేర్	రెండు మూడు రోజులు ఒకే మాదిరిగ వర్షం వస్తే దానిని ముసూర్ అంటారు
కాపుస్, జొన్నద్గ డవ్రా పానెకే కొందన్‌గా ముస్కేంగ్ దొహంతేర్	చేలలో గుంటుకు కొట్టెట్టప్పుడు ఎడ్లు ముఖులకు తొడుగు తొడిగిస్తారు
చుడూర్ మనెక్డాల్ వడ్కా వాయొ వోస్ మూకాల్ ఇంతేర్	చిన్నగున్నప్పటి నుండి మాట్లాడరాని అతనిని మూగ అంటారు
నన్న కొత్త ఇగెన్ ఇర్సి, బేకె మెయాడ్ ఆయర్?	నేను డబ్బులు ఇక్కడె ఉంచాను ఎటు మాయం అయినవి
మర్సక్, బార్చింగ్, కీక్రంగ్ మెసెల్- బండాద్గ మెసియంతేర్	గొడ్డలి, బాడిశ, ఉల్లి నూరడనికి బండ పై రాకుతారు
సోయాబిన్ పూర్తకే జల్ది మొడోకాంగ్ వాంతంగ్	సోయబీన్ నానితే తొందరగా మొలకెత్తు తుంది
చుట్టా ఆకినంగ్ కట్టంగ్ మొరోస్ వేలినే దొహంతేర్	తునికి ఆకులను తీగలతో కట్టలు కటుతారు
సెర్కా పెడెక్‌నంగ్ యెంజెంగ్ కొహ్కీసి తింతేర్	మొర్రి పండ్లను పగుల గొట్టి సారాపలుకులు తింటారు
బాయిక్ యేంచెర్ మంతంగ్	స్త్రీ, నృత్యం చేస్తున్నారు
రోజు-రోజు రెయ్సెర్ మంతోర్ బారి ఇత్తెకే వోర్ యెడ్కితే మంతోర్	రోజు రోజుకు తగ్గుతున్నాడు ఎందుకంటే జ్వరముతో ఉన్నాడు
సక్రే పోడ్డ్ పెసితెకే యెద్ది వాంత	ఉదయం అయితే ఎండ వస్తుంది
యెద్ది-గాలుం సకెడల్ ఫోడ్‌సొనల్ బయ్ యెద్ది తెరంత	వేసవి కాలంలో ఉదయం నుండి సాయంత్రం వరకు చాల వేడిగ ఉంటుంది
సాతకే యేమ్కి జీవత్ వోయ్లా వాంతేర్	మరణించిన తరువాత యముడు ప్రాణము తీసుకెళ్ళడానికి వస్తాడు
యేనీ తన్వ సోండుమ్నే కాండిర్క్ యేర్ మిహంత	ఏనుగు తన తోండంతో పిల్లల పై నీరు జల్లుతుంది
ఇప్ కస్లసే యేర్ తచ్చేర్ మంతంగ్	వీరు చిన్న బిందెలతో నీళ్ళు తెస్తున్నారు
రోత్ మున్నెత జాగత్ రచ్చా ఇంతేర్	ఇంటిలో ముందు స్థలాన్ని వాకిలి అంటారు
ఇద్ నాట్నల్ సొన్జి అద్ నాటే హానే రహే- మాతోం	ఈ ఊరి నుండి వెళ్ళి ఆ ఊరిలో అలాగె ఉండిపోయము
రాగో పంచంగం టెండంత	చిలుక పంచాంగం చూపిస్తూంది
రాన్‌జీ బయ్ కాం వాంత	వెదురు చాల పనికి వస్తుంది
రాయాలిక్ మూర సాతెకే తిన్లె వాంతంగ్	జంతువులు చనిపోతే రాబందూవులు తినడానికి వస్తాయి
ఇంకే దహ రుప్యన ఉంది కొత్త వాత	ప్రస్తుతము 10 రూపాల విలువ గల ఒక పైస అయ్యింది
రుమ్న పియ్సి సేర్ పాంతేర్	రుమ్మన పట్టి అరక దున్నుతారు
వెల్లె యేతగ రూకాతె దాంతేర్	లోతైన నీటిలో పడవతో ప్రయాణము చేస్తారు
కెటెం పియ్యి గుట్ట రెయ్‌తంగ్	కట్టెలు పట్టుకొని గుట్ట దిగుతారు
మూరంగ్, హెర్మింగ్, గొర్రెంగ్ సమ్ది రొహ్క- పాంతంగ్	ఆవులు, బజ్జెలు, గొర్రెలు అని జంతువులు నెమరు వేస్తాయి
మిర్చ వాటీ కియై రోకాల్ కాం సీంత	కారం నూరిటకు రోకలి పనికి వస్తుంది
బాయిక్ మీన్స్కి పియన్‌సాటి లవ్డితే యేర్ రోస్కంతంగ్	మహిలలు(స్త్రీ) చేపలు పట్టడానికి వాగు నీళ్ళను తోడుతారు
కొత్తంగ్ తచ్చి మలుసి సియ్యెకే వోన్ లంగాల్ ఇంతేర్	రూపాలు తీసుకొని తిరిగి ఇవ్వని వారిని చెడ్డ వాడు అంటారు
నొవ్రి నొవ్రాన్ భేటి కీసి లగ్నింగ్ చెహంతేర్	పెండ్లి కూతురు, పెండ్లి పిల్లవాడు కలిపి పెళ్ళిలో అక్షింతాలు చల్లుతారు
లసూన్ కుస్రితగ వాటంతేర్	ఉల్లి పాయాలు కూరలో వేస్తారు
బెయే బాబాల్ చుడూక్ కాండర్-పేకిన్ బయ్ లాడ్- కీంతేర్	అమ్మా నాన్నలు చిన్న పిల్లలను చాల ప్రేమిస్తారు
జొన్నత్ పిట్టెం తింతంగ్ ఇంజేర్, వాట్టె మూలంగ్, మూలంగ్, సుమ్కెని లిక్డీంగ్ దొహంతేర్	జొన్న పంటల రక్షణ కొరకు చేను మూల మూలలో కట్టే గంటలు కట్టుతారు
లెండాల్ మయ్‌నల్ కాం కియై సొన్నోర్	సోమరి మనిషి పనిచేయుటకు వెళ్లడు
చుడూక్ కాండర్ పేకింగ్ లంగ్ తాక్లే లెండాల్ ఆంతేర్	చిన్న పిల్లలు దూరం నడవడానికి మొండికేస్తారు
వేర్ చిట్టీ లెహి కీసేర్ మంతోర్	ఈయన ఉత్తరం వ్రాస్తున్నాడు
తాన చొకోట్ లేంగ్ మంత, పాట వారంత	ఆమె రాగం మంచిగా ఉంది పాట పాడుతుంది
లేండీ మర్రతంగ్ పండింగ్ కారిక్ మందంతంగ్	అల్ల నేరడి పండ్లు నల్లగా ఉంటాయి
వోన్ భేమారి మంత అదేన్‌సాటి వోనింగ్ కొన్రింగ్ లొటోస్-సొత్తంగ్	ఆయనకు రోగం ఉంది అందుకని ఆయన చెంపలు లోనికి వెళ్ళిన్నాయి
కాపుస్ కుటంగ్ టెండ్లె వకూర్ కాం సీంత	పత్తి చెట్లను తీసివేయుటకు గుంటుకు పనికి వస్తుంది
కాండిర్ వరోస్ వరోర్ వట్టా వాంతేర్	పిల్లలు ఒకరి జోలికి ఒకరు వస్తున్నారు
బహ్రి కప్డింగ్ వల్లె మంతంగ్, వత్తెకే రొప్పో తచ్చి ఇరా	బయట బట్టలు ఆరడానికి ఉన్నాయి ఆరాక ఇంట్లో తెచ్చి ఉంచు
కెటెం తరసొటి గుట్ట వర్తంగ్	కట్టెలు తేవడానికి గుట్ట ఎక్కరు
మూర పియ్య వహ్తా	ఆవు దూడకు జన్మ నిచ్చింది
యేర్ తర్వల్ బిందే గద్ది అర్త వాజంత	నీరు తెచ్చు చర్చి రంద్రం అయ్యింది నీరు కారుతుంది
సాడ కాండిర్ పేకింగ్ నర్కాక్ పుస్తక్ వాచీ- కీంతేర్	బడి పిల్లలందరు రాత్రి పూట పుస్తకాలు చదువుతారు
సాపంగ్-మిర్చంగ్ వాడీతే ఉర్వంతేర్	వంకాయలు, మిర్చి, తోటలో పండిస్తారు
వీర్ వాడిర్ టేబుల్ కీసేర్ మంతేర్	వీరు వడ్రంగి వారు టేబుల్ చేస్తున్నారు
పేర్ పాట వార్‌తోర్	ఈయన పాట పాడినాడు
సేర్ పుహ్లా వార్తీ కాం సీంత	వార్న తాడు అర్కకు పనికి వస్తుంది
రోతగ ఆడేతల్ వాసింగ్ బూడ్ పట్టి యెవ్నల్ వాంతంగ్	ఎనీగర కట్టే నుండి క్రింది పట్టే వరకు వాసాలు వస్తాయి
వోర్ పుజడా వాస్ యేచ్చెర్ మంతోర్	అతను పువ్వు వాసన చూస్తున్నాడు
పిర్ గాలుం సమ్దిర్ ఖేతి దారలీర్ వాప్లై విజ్ఞా వాటంతేర్	వర్ష కాలంలో వ్యవసాయ దారులు అందరు విత్తనాలు వేస్తారు
మందిర్తగ నివోద్ విదుర్సీ రోస్ వాసి గాటో తింతేర్	గుడిలలో నైవేద్యము చూపి ఇంటికి వచ్చి తింటారు
జొన్న సెన్‌దున్ ఖడాద్గా కొందన్‌తోడో విసంతేర్	జొన్న పంట కల్లలను ఎడ్ల బంతి కట్టుతారు
కట్టె నిరుత పెజ్జె తాన్ విస్కూడ్ ఇంతేర్	కట్టే కాలిన తరువాత దానిని విస్కూడ్ కట్టే అంటారు
వీడా- ఆకి తిత్తేకే టొడ్డి రగ్గాల్ అంతా	తమలపాకు తింటే నోరు ఎర్ర బడుతుంది
కాసుడ ఆస్కుడ్ వీస్తా	ఎడ్ల బండి ఇర్సు అరిగి పోయింది
మర్రతగ పండిన్ సాటి తెర్గతా పెజ్జె కొడ్డితంగ్ విస్కంతేర్	చెట్టును పండ్లు కొరకు కొమ్మలను వంచుతారు
వడ్కలే అని సవ్వాద్ సూడ్లే వెంజేర్ కాం సీంత	మాట్లాడుటకు, రుచికి నాలుక పనిచేస్తుంది
చచ్చోయ్ యేంద్నెకే వెట్టే పాంతేర్	చచ్చోయ్ నృత్యం చేసెటప్పుడు(వెట్టే) అనే సంగీత సాధనం వాయిస్తారు
వెద్దుక్నంగ్ కోడంగ్ తాకంతేర్	వెదురు కట్టెలను గుర్రలు చేసి నడుస్తారు
హాటుం వయ్యే కీమ్ట్, రోస్ వయ్యే దాకట్	అంగడి(బజారు) తొందరగా చేయండి ఇంటికి వెళ్లుదాం
వోర్ బయ్ వెరే కొండల్, అగ్గ సొన్నోర్	ఆయనకు భయమెక్కువ అతను అక్కడికి వెళ్ళడు
జామ్ పండింగ్ తిన్లె కాండర్ రోజీ వాంతేర్, ఊర్క్ వెరే- కీయలాగర్	జామ పండ్లు తినడానికి పిల్లలు రోజు వస్తారు వారిని బయపెట్టవలెను
మా రోన్ వెర్టల్ వాతోర్	మా ఇంటికి చుట్టము వచ్చినారు
వీర్ కురత్ డహ్టింగ్ వాటంతేర్	వీరు ఎద్దు కంకకు వాతాలు పెట్టుతారు
గుసాడీర్ లాసున్ నేటి తడ్మిత్‌గ కైసర్ కోలా నిరుసీసి సమ్దిర్క్ గోటిద్గా వెర్సంతేర్	గుస్సాడి వారు లక్ష్మి పూజ రోజు చీపురు కట్ట పుల్లను అగ్గిలో పెట్టి అందరిని కలుస్తారు
మూరింగ్ సేంగ్వక్ రోత్ బొప్తల్ వెలూం కీంతేర్	జంతువులు రాకుండ ఇంటి చుట్టు కంచే చేస్తారు
మక్కెంగ్ చొకొట్ వెయూస్‌తేర్	మక్కలు మంచిగా కాల్చినారు
కాసుడ ఘరెత్ కచ్చిత వేట్ మందంత	ఎడ్ల బండి చక్రనికి ఇనుప కమ్ము ఉంటుంది
వేడద్గ మక్కెంగ్ యెదంతేర్	పెరడిలో మొక్కజొన్న వేస్తారు
ఫోడ్షనల్ వేడ్చీ వాంత	ప్రొద్దున సూర్యుని వెలుతురు వస్తుంది
కటుడ్‌గా వెల్లేటీర్ ఉత్తేకే నోడే వొదాల్- ఆంతా	మంచంలో ఎక్కువ మంది కూర్చుంటే నుల్కా వదులు అవుతుంది
రోత్ మున్నె వోస్త్రిత జాగత్ వోటా ఇంతేర్	ఇంటి ముందు ఉన్న పలమును అరుగు అంటారు
కొర్రింగ్ కొయ్సి కుస్రి అటన్ సాటి వోడూ- సీంతేర్	చిక్కుడు కాయలు వండుటకు విరగొట్టుతారు
వర్ వత్తంగ్ మీన్క్ వొమ్సెర్ మంతోర్	ఆయన ఎండుచాపలు అమ్ముతున్నాడు
పుగాతూన్ బయ్ ఉహ్కీసీ వొహొర్	గాలి బుగ్గను బాగా ఊది పగుల గొట్టినారు
ఉంది కెయ్దే సామన్ లంగ్ వోయన ఇత్తెకే బయ్ సంజంత	ఒక చేతితో వస్తువులు దూరం తీసుకెళ్ళాలంటే చాల ఇబ్బందిగా ఉంటుంది
సగూడ్ సాటి నొచ్చిన రోన్ సారింగ్ పియ్య దాంతేర్	అల్లు కొరకు పెండ్లి కూతురు ఇంటికి రొట్టెలు తీసుక పోతారు
పడ్సాంగ్ ఆతెకే బయ్ సగూర్స్క్ వాంతంగ్	జలబు అయితే తుమ్ములు వస్తాయి
మండద్గా డెరిన్‌గ సడంగ్ వాటంతేర్	పందిరిలో గుంజల పైన వాసాలు వేస్తారు
సడాపి యేతగ మిసిడి కీసి రప్పతే సడా వాటంతంగ్	ఆవు పేడ నీటిలో కలిపి కల్లపి చల్లుతారు
యెద్ది గాలుం మర్రక్నంగ్ పాలంగ్ సడే- మాంతంగ్	వేసవి కాలంలో చెట్ల ఆకులు రాలుతాయి
పుజార్క టొక్లింగ్ సరియంతేర్	కొలాములు, గుల్లలు తయారు చేస్తారు
సాతోర్ మయన్ తడ్మి లావి కీంతేర్ అదేన్ సరూన్ ఇంతేర్	చనిపోయిన
గాటో ఆయి కుస్రి ఆయి యెద్ది గాలుం వెయ్నె సవంతా	అన్నము కాని, కూర కాని ఎండలంలో తొందరగానే పాసి పోతుంది
జేవుంతగ ఉంది ఉంది సవ్వి వహ్ది కీతేర్	విందు భోజనములో ఒక్కొక్క మాంసం ముక్క వడ్డించారు
లైలొన్ నోడే బయ్ సాంగంత	నైలోన్ తాడు బాగా సాగుతుంది
వాట్టె తేరియా వేలి హిక్కె-హక్కె సాంగంత	చేనులో దోస కాయ తీగ ఇటు అటు సాగుతుంది
హెర్మింగ్ సాక్రిస్నే దొహంతేర్	బజ్జెలను గొలుసులతో కట్టుతారు
కాండిర్ పేకింగ్ కరియన్ సాటి నార్ నాటే సాడ మంత	బాలురు, బాలికలు, చదువుకోవడానికి ఊళ్ళలో పాఠశాలలున్నాయి
వొమన్ సాటి హాటుమ్నే సాపంగ్- మిర్చంగ్ తరంతేర్	అంగడిలో అమ్మడానికి వంకాయలు, మిరపకాయలు తెస్తారు
చెపుల్క్ కెర్వకే కాల్కున్ సాప్స్క గండంతంగ్	చెప్పులు వేసుకుకోక పోతే పాదలకి ముల్లు గ్రుచ్చుకుంటాయి
సాలే మర్రత మర్మిన్‌గ ముండా ఖోడా కీంతేర్	అందుస చెట్టు కట్టెతో పెళ్ళి పీటలు చేస్తారు
తొల్లెలత జమానాతే సాలేవాడాల్ కప్పింగ్ కీందుర్	పాత కాలంతో సాలేవారు బట్టలు చేసేవారు
గుజ్రాత్‌నంగ్ బాయిక్ బయ్ సింగార్ కెయ్కనగ కొహ్కుసీంతంగ్	గుజారతి ఆడవాళ్ళు చేతుల పై ఎక్కువ చుక్క బొట్లు వేసుకుంటాయి
బేరెంగ్ టెండ్నెకే కెయ్కనగ సిందేక్ దాంతంగ్	సంరాలు తీసిటప్పుడు చేతులకు గ్రుచ్చుకుంటుంది
నర్కక్ కరంట్ సొత్తెకే సికాటి ఆంతా	రాత్రి వేళ్ళలో(విద్యుత్) కరెంట్ పోతే చీకటి అవుతుంది
జొన్నంగ్ సిబ్బిత్గ నిహ్చి ఇరంతేర్	జొన్నలు గుమ్మిలలో నింపి ఉంచుతారు
వెల్లె జేల్ ఉత్తకే కాల్క్ సిరుం సాంతంగ్	చాల సేపు కూర్చుంటే కాలకు తిమ్మిరి ఎక్కుతాయి
వాప్లై సిర్ముట్ పెన్‌సిన్ తార్ పాసి మంత	చేను చుట్టు ఫెనిషింగ్ కంచే చేసి ఉంది
కోందంగ్ పుహన్ సాటి జువ్వతగ సివోడంగ్ వాటంతేర్	ఎడ్లను నడుపుటకు బండికి జాత్తెలు వేస్తారు
కప్డింగ్ కొటంతోర్ వోన్ సీపి ఇంతేర్	బట్టలు కుట్టె వారిని దర్జి అంటారు
కాండిర్- పేకింగ్ ఊర సాడత్ సియేర్ మంతేర్	అబ్బాయిలు, అమ్మయిలు వారి యొక్క బడిని ఊడుస్తున్నారు
మరకనంగ్ సీర్క్ బొమ్మిత్ బూడ్ దాంతంగ్	చెట్టు వేర్లు భూమిలోపలికి వెళ్ళుతాయి
పుర్కి సీర్ తల్లదగ మందంతంగ్	పేలు తలలో ఉంటాయి
కాస్త కుస్రి సుక్కూడె తావంతేర్	వేడి కూరను తెడ్డుతో తీస్తారు
పెర్సా పేన్దగ సుజారాంగ్(హెర్రేంగ్ ఆయి, హెర్మింగ్ ఆయి) పాంతేర్	పెద్ద దేవుని దగ్గర జంతు బల్లలు ఇస్తారు
సుర్వేంగ్ పుత్తిన్‌గ, మర్రక్‌నంగ్ డోబ్రన్‌గ దొసంతంగ్	తేనే పుట్టలలో, చెట్ల తొర్రలలో పెట్టుతుంది
సులూడీ క్రిష్ణన కెయ్దే మందంత	పిల్లలన గ్రోవి కృష్ణుణి చేతిలో ఉంటుంది
వీర్ పూటుంగ్ సూడ్సేర్ మంతేర్	వీరు ఫోటోలు చూస్తూన్నారు
వాట్ట జాడి యెహన్ సాటి సెటేడ్ కాం సీంత	చేనులోని గడ్డి కోయుటకు కొడవలి పని చేస్తుంది
జొన్న సెన్ మియంత	జొన్న చేను పంటతో కళకల లాడుతుంది
యెద్ది గాలుం కాల్క్ వేంతంగ్ ఇంజేర్ సెర్పూంక్ కెరంతేర్	వేసవిలో కాళ్ళు కాలుతాయి అని చెప్పులు తొడుగుతారు
సెర్కా మర్రతగ బయ్ సెవ్వేర్ పెసియంత	బంక చెట్టుకు చాల బంక వెళ్ళుతుంది
సేతితే పెరేక్ తెహ్చంతంగ్	చాట తో బియ్యము చెరుగుతారు
సేరీ తరాస్ మయన్ సూడ్తేకే బయ్ సొడియంత	జెర్రిపోతు పాము మనుషులను చూస్తే పరుగులు తీస్తుంది
బాయిక్ సేవ్యంగ్ కీసేర్ మంతంగ్	స్త్రీ, సేమియాలు చేస్తున్నారు
ముద్దంగ్, చయిస్క్, పుస్తెంగ్, కీంతోర్ వోన్ సొనారాల్ ఇంతేర్	మట్టెలు, గోలుసులు, చేసే వారిని ఔసాలోడు అంటారు
అద్ సాడతే సొంజేర్మంత	ఆమె బడికి వెళ్ళుచున్నది
సోంచీతాల్ కేడతె మందంత	చిరుత పులి అడవిలో ఉంటుంది
జాగ్గి సొన్నెకే సోటా పియ్సి దాంతేర్	చేను కావలి వెళ్ళెవారు దుడ్డు కర్ర పట్టే వెళ్ళుతారు
నాక్ సోప్తి నిమ్మె అగయెన్నల్ వా	నాకు అందక తోడుగ వస్తావా
మల్ బయ్ సోబాతా మంత	నెమలి చాల అందంగా ఉంది
నిన్నే సెల్లే హనట్- నేటి సార్ వాసి	నిన్న కాక మొన్న ఆచార్యుడు వచ్చి ఉండెను
హిరుక్ మర్రా హిరుక్ అర్సి మర్ల ఘరంగ్ సాదంత	ఇప్ప చెట్టు ఇప్పపూలు తరావాత ఇప్పకాయాలు కాస్తుంది
కోళ్ల వాతెకే హిరోడా కాయన తోల్ తింతేర్	దగ్గు అయితే కరక్కాయ కాయ తోలు తింటారు
యెద్ది గాలుం యేతగ మీడ్సి హెర్మింగ్ మందంతంగ్	వేసవి కాలంలో నీటిలో బర్రెలు పడుకుంటాయి
