Gondi Word	Hindi Meaning	Telugu Meaning
नडुमतोर	मध्यस्‍थ	మధ్యవాడు
नड्डुम	बीच में	నడ్మ
नड्‍हे कीयमड़	चकमा देना	
नदर	नज़र	దృష్టి
नदर वाटमड़	नज़र डालना	
नदर वाटमड़	नज़र डालना	
नन्ना	मै	నేను
नमस्‍कारम	प्रणाम	
नमीस-	तोड़ के	
नय पोरी	कुत्ते का पिल्‍लू	కుక్క పిల్ల
नयतरास	नाग सांप	నాగుపాము
नय्यु	कुत्ता	కుక్క
नरमे		చేప
नर्कळ्‍क मेयंता	रात में चरना	
नर्का	रात	రాత్రి
नर्का पडिं	रातभर	
नर्का पडिं	रातभर	
नर्रम	नस	నరము
नलपै	चालीस	నలుబై
नलपै उंदि	इकतालीस	నలుబై ఒకటి
नलपै एनमिदि	अड़तालीस	నలుబై ఎనిమిది
नलपै तोम्मिदि	उनचास	నలుబై తొమ్మిది
नलपै नालूं	चवालीस	నలుబై నాలుగు
नलपै मूडु	त्रेतालीस	నలుబై మూడు
नलपै रोंडु	बयालीस	నలుబై రెండు
नलपै हारूं	छियालीस	నలుబై ఆరూ
नलपै हेय्युं	पैंतालीस	నలుబై ఐదు
नलपै-एडूं	सैंतालीस	నలుబై ఎడు
नल्‍ला दास	काला नाग	నల్ల పామూ
नल्‍ला बंका	काला डिंक	నల్ల బంక
नल्‍ला मन्‍नु	काली मिट्टी	నల్ల మట్టి
नल्‍ला रंगु	काला	నలుపు రంగు
नस	छिंकणी	
नसीब	किस्मत	
नस्‍टम कियमड़	नष्ट करना	
नह्गा	मेरेपास	నా వద్ద; నా దగర
नाकुन	मुझे	నాకు
नाकूड	जगणेचाटना	నాకడము
नांगेल	हल	నాగలి
नागोबाल	नागदेवता	నాగు దేవుని పేరు
नाट	रोवना	
नाटे मनना जिवराशीं	पालतु जानवर	
नाटेनोर	गाव के	
नाडी	कल	రేపు
नांदमड़	गीला होना	
नांदे-मा-	जीना	జీవించడము
नानाल	चाचा	బాబాయ
नार	गांव	గ్రామము
नाटेनोर	गाव के	
नार-नार	गांव-गांव	
नार तिरियनोर	गाव में गूमनेवाला	ఊరీలొ తిరిగెవాడు
नार हाटमड़	ऐलान करना	
नार-नार	गांव-गांव	
नारलेम काया	नारियल	కొబ్బెరికాయ
नाराज	नाराज	
नारेंगा		ఒ రకము చేప
नार्यमड़	शरीर तानना	
नाली तवमड़	नाली खोदना	
नालुं	चार	నాలుగు
नालुर	चार जण	
नालुं पकां	चारों ओर	నాలుగు పక్కలు
नालुर	चार जण	
नालूं अनि हारुं काल्‍कुना बल्‍ली	चार और छ: पैरोंवाला	నాలుగు మరియు ఆరు కాల్లు ఉన్న బల్లీ
नालूं रोजकुंक	चार दिन बाद	ఎలుండి
नाल्‍के	जुबान	నాలుక
नावद	मेरा	నాది
नास्‍ता	नाश्ता	అల్పొపహారము
नाहुड़	भिगोना	
निकेल	निकेल	గంధకము
निच्‍चेना	सीढ़ी	నిచ్చెన
निजम	सच	నిజము
निजमेना	वास्वत	వాస్తవమెన
निंडमड़	भरना	
निंडिसी	भरा हुआ	
नितमड़	खड़ा करना	నిలుపడము
निपूस्मड़	खड़ा करना	
नित्तिच्मड	खड़ा करना	
नित्तिसी-	खड़ा-	
नित्तिच्मड	खड़ा करना	
निद्र होनमड़	नींद लगना	నిదుర పొవడము
निद्रा	नींद	నిదుర
निन्ने	कल	నిన్న
निपूस्मड़	खड़ा करना	
निम्मे	तू	మీరు; నీవు
मिम्मेट	तुम	
निय	तेल	నూనే
निर बिल्‍ली	जंगली बिल्‍ली	అడవి పిల్లీ
निल्‍लुड	खड़ा रहना	నిల్చుండు
निल्‍लुस्मड	खड़ा करना	
निल्‍लुस्मड	खड़ा करना	
निस्‍टेमायमड़	छूटना	
निहमड़	भरना	
नीडा	छांव	నీడ
नीडा मरा		విశ్రాంతి (చెట్టు)
नीडाते कलियसि मनुमड़	छांव में रहना	నీడలొ కలిసి ఉండుట
नीय्यू	तैल(खाद्य)	తలుపు నూనె
नीर नय्यु	पानी में पाये जानेवाला कुत्ता	
नीरस्मड़	सुलगाना	
नीरे	पिछले साल	గత సంవత్సరము
नीलम	बलक	
नीलम वत्तुता मेंजू	बलक सुका हुआ अंडा	
नीला नागुम	नीला नाग	
नीवद	तेरा	నీది
नीहुडु	भरना	
नुक्सान	नाश	
नुल्का		నుల్క
नुल्पे	शाम का समय	సాయంత్రం
नुल्ले	मच्‍छर	దోమ
नुसि		నూసి
नूंग	तील	నువులు
नूर	सौ	వంద
नॆड़ी मरा		అల్లనేరెడు (చెట్టు)
नॆला	जमीन	భూమీ
नॆली	खेत	చేను
नॆली कियनोर	किसान	
नॆलीने	खेती में	చేనులొ
नेक	बजना	
एगनेंके	बजते समय	
नेकूस-	बजाना	
नेकूस-	बजाना	
नेंग-	घुसना	చొచ్చుట
नेंड	आज	ఈరోజు
नेत्तुर एक्‍किच्मड़	खून/रक्‍त चढ़ाना	రక్తము ఎక్కించుట
नेत्तुर तेंडमड़	खून निकालना	రక్తము తియ్యుట
नेत्तुर पेय्‍समड़	खून निकलना	
नेत्तुर हियमड़	खून देना	రక్తము ఇవటము
नेत्तूर	ख़ून	రక్తము
नेम	सीधा	నిజనముగ
नेमर वाटमड़		నెమురు వెయడము
नेम्‍हामड़	तोड़ना	తెంపుట
नमीस-	तोड़ के	
नेर वाटनोर	रोवणेवाला	
नेर वाटमड़	रोंपना	
नेरडा मरा		ఆముదము చెట్టు
नेरबड़मड़	थकना	అలసి పొవడము
नेरवु	चौढ़ाई	వెడెల్పు
नेर्डा निय्य	एरंडि तेल	ఆముదము నూనె
नेला	महिना	నెల
नेस्‍कमड़	साँस लेना	
नेस्‍काकोंटा मन्‍मड़	श्‍वास न लेना	
नॉयट्रोजन	नॉयट्रोजन	నైట్రొజన్
नोटुडु		అల్లుట
नोंडे	रस्‍सी	త్రాడు
नोप्‍पी	दर्द	
नोप्‍पी आयुडु	चोंट लगना	
नोयमड़	दर्द महसूस करना	
नोरमड़	पीसना	ఇస్రుట
नोर्रुड	कपडा धोना	కడుగుట
नोव्‍करि	नौकरी	ఉద్యోగము
नोव्राल	दुल्‍हा	వరడు; పెండ్లికొడుకు
नोव्रि	दुल्‍हन	వధువు; పెండ్లికూతురు
नोव्रि-नोव्राल	दुल्‍हा-दुल्‍हन	పెండ్లి కూతురు; పెండ్లి కొడుకు
नोव्रि	दुल्‍हन	వధువు; పెండ్లికూతురు
नोव्रि-नोव्राल	दुल्‍हा-दुल्‍हन	పెండ్లి కూతురు; పెండ్లి కొడుకు
नोव्‍वां(उंदि पंडुंगुना पोरोल)	पोला	
नोहकुता कारम	मीर्च पाऊडर	గొడ్డుకారము
नोह्क-	रँभाना	
नोह्‍कुड	कूटना	
नौरल	दुल्‍हा	
नौरी	दुल्‍हन	
पकक	ओर	పక్కకు
नालुं पकां	चारों ओर	నాలుగు పక్కలు
पक्‍का लोतोर	पड़ोसीवाला	పక్కింటివాడు
पक्‍कु	खुरंड	పుండు పైన ఎండిన తోలు
पंगत	पंगत	వరుసగ
पंगा आयमड़	सुबह होना	ప్రాథకాలము
पंचांगम	भविष्य देखना	
पची कपडीं केरमड़	गिले कपडे पहनना	
पच्‍चगा(आकी)	हरापन	ఆకుపచ్చ
पच्‍चा कुसिर		ఆకూ కూరలు
पच्‍चा जाडी	हरा घास	పచ్చ గడ్డి
पच्‍चिअलम	अदरख	అలం గడ్డ
पच्‍ची हव्‍वीं	कच्‍चा मास	
पंजरम	पिंजरा	పంజరము
पजा अरह्मड़	हराना	
पज्‍जा/पज्‍जो	पीछे	వెనుక
पज्‍जो	पिछे	ప్రక్కకు
पंटा	फसल	పంట
पंटा	पीक	
पंटा तेंडना बूमी	फसल स्‍थल	పంట పండించె భూమీ
पटाकी	आतिषबाजी	ఔటు
पट्टा	पट्टा	బెల్టు
पट्टी वाटमड़	पट्टी बांधना	
पट्टु	बली चढाने का स्‍थल	బలిపీఠం
पट्पटि	मोटार सायकल	మోటర్ సైకిల్
पडगे	फना	పడిగ్య
पडनद	पुराना	పాతది
पडानोर	वृद्ध मनुष्य	
पडमटा	पश्‍चिम	పడమట
पडसेम	सर्दी	పడసెము
पडानोर	वृद्ध मनुष्य	
पडिं	बिलकुल	
पंडि	पका हुआ फल	
पडीया	कंगी	దువ్వెన
पंडुगु	उत्‍सव	పండుగ
पंडुड	पकना	
पंडि	पका हुआ फल	
पंटा	पीक	
पड्डा पेय्या	मादा बछडा	ఆడ దూడ
पड्‍नालूं	चौदह	పద్నాలుగు
पतंग	पतंग	గాలి పటం
पंते		చిన్న దీపము
पत्ता गोबी	पत्ता कोबी	పాన్ గోబే
पदमुडु	तेराह	పదమూడు
पदाकोंडु	ग्‍यारह	పదకొండు
पदि	दस	పది
पंदिकोक	घूस	పందీ కొక్కు
पंदिरीहिडू	मंडप के नीचे	పందిరి కింద
पदिहेडूं	सतरह	పదిహేడు
पदिहेनी	पंधरह	పదిహేను
पंदोंम्मिदि	उन्‍नीस	పందొంమ్మీది
पद्दि	सुअर	పంది
पद्दीना मंदा	सुअरोंका झूंड	పందుల మంద
पद्दुसुल	बुलबुल पंछी	
पद्देनमिदि	अठारह	పద్దెనమిది
पद्‍लेंगा	संभाल के	క్షెమంగ
पन्ने	मेंढक	కప్ప
पन्ने मेस्‍कू	मेंढक के अंडे	కప్ప గుడ్లు
पन्नेंडु	बारह	పన్నెండు
पप्‍पु	दाल	పప్పు
पय्ता मेंजू	फुटा हुआ अंडा	పగిలిన గుడ్డు
पय्‍हामड़	फोड़ना	పగలగొటడము
पय्‍हुड	फोड़ना	
परियसि वितमड	उड़ जाना	
परीयमड़	उड़ना	ఎగిరింది
पर्कि मरा		పరికి (చెట్టు)
पर्पु बंडा	विशालकाय चट्टान	బండ
पर्रिक	चावल	బియ్యము
पर्सा काया	लवकी	పాసెం కాయ
पल	प्रभात	
पलते	के बाहर	బయిట
पलते अरमड़	बाहर आना	బయట పడుట
पलसगा	पतला	
पलारम	प्रसाद	నైవేద్యము
पल्‍कु	दांत(अ.)	పంల్లు,దంతాలు
पल्कुने कोरकुमड़,	दांतों से काटना	
पल्‍गु		పలుగు
पल्‍लू	दांत	దంతాలు
पल्कुने कोरकुमड़,	दांतों से काटना	
पशुल्‍कुना गंटा	घंटी	గంట
पशुल्‍कुनालेसीं वड्‍कुमड/मोतुकुन्‍मड	जानवर जैसा चिल्‍लाना	
पसपस इन्‍मड़	पसपस आवाज करना	
पसपु पच्‍चगा	पीला	
पसपू पच्‍चा रंगु	पिला रंग	పసపు పచ్చ రంగు
पसुपु कोम्मु	हलदी का फल	పసపు కొమ్ము
पसूल्‍कुना तोडा	पशु का जाघ	పశువుల తొడ
पस्‍पु	हलदी	పసుపు
पहकुडु	ढुंढ़ना	వెతుకు
पाका		పాక
पाकुर	वेवाल	
पांजी	जाली	షికారి వస్తువు
पांजीते अरमड़	जाल में फसना	వల్లలొ పడుట
पाटडि		ప్రధాన్ (కులంపేరు)
पाटा	गाना	పాట
पाटा बंडा		రచ్చబండ; రుబ్బెరాయి
पाटि	पटरा	చెక్క; పలక
पाटुंक तरमड़	दूसरा विवाह करना	పాటు (2వ పెండ్లి)
पाट्लाल	पटेल	గ్రామ పెద్ద మనిషి
पाट्ले	पाटलीण	
पाट्ले	पाटलीण	
पाड आयमड़	सर्वनाश होना	చెడిపోయింది
पाडी	घर का नाम	ఇంటిపేరు
पाडीतोर	के घर का नाम वाले	
पाडीतोर	के घर का नाम वाले	
पातळ कप्‍पिड	लुगडा	చీర
पातालम	नरक	నరకము
पातूर	पतला	
पान आकी	सुपारी पेड़ का पत्ता	
पान मरा	सुपारी का पेड़	
पान आकी	सुपारी पेड़ का पत्ता	
पापे		అతిజిహ్వ
पापेर	तितली	సితాకొకసిలుక
पाया अरमड़	बाढ़ आना	వరద
पाय्‍दा	फायदा	లాభము
पाय्‍दा अरमड़	फायदेमंद	
पाय्‍दा येतमड़	फायदा लेना	
पाय्‍दा अरमड़	फायदेमंद	
पाय्‍दा येतमड़	फायदा लेना	
पाय्‌री	पग	తంతె
पारतड	समदिन	వియ్యంకురాలు
पारा	पावड़ा	పారా
पारी		సడ్డకుడు
पारुडु	गाना	పాడుట
पाल	दूध	పాలు
पाल-निय	मक्‍खन	నెయ్యి
पाल पिंडमड़		పాలు తియ్యడము
पालकि		లక్ష
पाल-निय	मक्‍खन	నెయ్యి
पाला कंचु	शुद्ध कास्य	
पाला पिट्टे		పాలపిట్ట
पाले		నాగలికి అనుకొని ఉండే కట్టే
पाल्की	पालखी	పాలఖీ
पाल्‍कू पंचुमड़	हिसो मे बांटना	పాల్లు పంచడము
पावरेम(उंदि पिट्टे)	कबुतर	పావురము
पावांच्मड़	पाना	
पासा	फांशी	ఉరి
पासी एर	कल का पानी	
पासी कबड़ कियनद	दासी	దాసి ఆడిది
पासेम	खीर	పాయసెము
पास्‍कमड़(इस्‍टम हिल्‍ले इनमड़)	पसंद नही करना	
पिकलोडी	बुलबुल	
पिकिर	चिंता	బాధ
पिच्‍चा	लिंग	
पिट्टे	पंछी	పక్షి
पिट्टे मेस्‍कु	पक्षीयों के अंडे	పక్షీ గుడ్లు
पिट्टेना कूसुड	पक्षीयों का चिल्‍लाना	
पिडका	सूखा गोबर	
पिडकिलि	मुठ्‍ठी	పిడికిలి
पिडकी मेड	मूठीभर	పిడికెడంత
पिडगु	बादल गरजना	పిడుగు
पिडपू	टट्टा	తడక
पिंडमड़		తియ్యడము
पाल पिंडमड़		పాలు తియ్యడము
पिडि	डंडी	
पिंडि	आटा	పిండి
पिंडि मुद्दा	लोया	పిండి ముద్ద
पिड्‍का मग्‍गुर	मगर का एक प्रकार	
पिड्‍सुड	बालों का पकना	తెల్ల వెంట్రుకలు
पिय्यल	दोपहर	మధ్యాహ్నం
पिय्यल-पोड्‍द	पूरा दिन	పగలంత
पिय्यला	दिन में	పగలు
पिय्यल-पोड्‍द	पूरा दिन	పగలంత
पिय्युड	पकड़ना	పట్టుట
पिर एर	बारीश का पानी	
पिर तंचोओता मन्नु	पानी से बह गया मिट्टी	
पिरकितनम	डर	భయము
वेरियसि	डर के	
बेदरिच्मड़	डर दिखाना	
पिरकीं		పేలాలు
पिरमड़	अंकुर लगना	మొల్చింది
पिरयादि	शिकायत	ఫిర్యాదు
पिरेम	मेहंगा	పిరెము
पिर्रा	नितंभ	పిర్ర
पिर्रु	बारीश	వర్షము; వాన
पिर्रु कालम	बारीशकाल	వర్షకాలము
पिर एर	बारीश का पानी	
पिर्रु कालम	बारीशकाल	వర్షకాలము
पिर्रुड़	भुजना	ఆరిపొయింది
पिलांनटेशन	रोपवाटिका	
पिल्‍ली गड्डेम	बिल्‍ली जैसा दाढी	పిల్లి గడ్డెమ్
पिव्‍वर	शूद्ध	నీటిగ
पिसमड़	जिंदा रहना	బ్రతికి ఉండుట
पिस्कमड		పిండి కల్పుట
पिस्‌ता	बच गयी	బ్రతికింది
पिस्वर	जिंदगी	బ్రతుకు
पिस्वर पिस्मड़	जिंदगी जीना	బ్రతకడము
पिस्‍सल(पिस्‍सा मनकल)	पागल	పిచ్చివాడు; పిసొడు
पिस्‍सा	पागलपन	పిచ్చితనము
पिस्से	पगलीन	
पिस्‍सल(पिस्‍सा मनकल)	पागल	పిచ్చివాడు; పిసొడు
पिस्से	पगलीन	
पिहमड़	बुझाना	
पिह्‍कुमड़	पादना	
पीकुड़	उखाड़ना	పీకుడము
ताकतते पीकुड़	ताकत से उखाड़ना	
पींग	टट्टी	
पीटुन लोपोळ्‍क-पलात्‍क कियमड़	पेट को अंदर-बाहर करना	
पीटुन लोप्‍पोड़्क ओयमड़	पेट का अंदर जाना	
पीटे मंता	गर्भवती है	పొట్టతో ఉన్నది
पीनि	ठंडी	చలి
पीनि कालम	थंडकाल	చలికాలము
पीनि कालम	थंडकाल	చలికాలము
पीन्गू	लाश	శవము
पीन्‍गू(मुरतड़)	लाश	
पीन्‍गू(मुरतड़)	लाश	
पीपा	लोहे का बड़ा डब्‍बा	డబ్బా
पीम	लो!	ఇగొ
पीयुड	पकड़ना	పట్టు
पीर	पेट	గర్భము
पीर आयमड़	गर्भधारण	
पीर पलाते तायमड़	पेट बाहर निकालना	
पीर लोपुड	पेट में गड़बड़ होना	కడపు లొపడము
पीरनोयुड	पेट में दर्द होना	కడుపు నొయడము
पीरु उबमड	पेट फूलना	కడుపు
पीसि होन्‍मड़	लेके जाना	తిసకెల్లడము
तरुमड़	लाना	
पुकेम	मुफ्त	పుక్యము
पुङह्‍कुन दुम्मे	फुलों का हार	పూలదండ
पुचुक इन्‍मड़	पुचुक आवाज करना	
पुजरि	पुजारी	పూజారి
पुटकेल्‍क	नवस	పుట్టెంటికలు
पुटनाल्‍कु	दालिया	పుట్నలు
पुट्कु	जनम	పుటుక; ఉద్భవం
पुट्टु मच्‍चा		పుట్టు మచ్చ
पुट्मड़	जन्‍म	జన్మించుట
पुड़कु	कीटक	పురుగులు
पुड़कुना मंदा	कीटकों की समुह	పురుగుల మంద
पुड़ि	कीड़े	పురుగు
पुत्ती	डुंबर	పుట్ట
पुन	जखम	పుండు
पुनादि बंडा		పునాదీ రాయ
पुनादी		పునాదీ
पुन्‍क आयुडु	मोच आना	పుండ్లు కావడము
पुरडी	बारसा	పురుడు
पुर्का		సోరకాయ
पुर्कि	जुवा	పెంలు
पुर्कि हीरू	जुवे का अंडा	
पुर्ता	काफ़ी	
पुर्रु	पतला टट्टी	పుర్రు
पुल्‍लगा	खट्टा	పులుపు
पुल्‍ला	काडी	పుల్లా
पुल्‍लां-पुल्‍लां गब्‍बु	पसीने की बदबू	పులుపు వసన రావడము
पुसेला		పుష్యం
पुस्‍कमड़	पिसलना	
पुस्तकम	किताब	పుస్తకం
पूजे	आराधना	పూజ
पूडसमड	बुझाना	
पूडे	योनी	పూకు
पूतता मोग्‍गा	कली	
पूता	फूल	పువ్వులు
पूता गोबी	फूल कोबी	పూల గోబే
पूना	नया	క్రొత్త
पूनोर	नया	
पूनोर	नया	
पूयुडु	फुलना	పూస్తుంది
पूर्णम		బూరె; పొల్లెల్
पूस कियमड़	पूछना	అర్సుకొవడము
पूसा	मनी	పూస
पूसि मरा	पेड़	పూస్కు చెట్టు
पॆगु	पोंछा	పేగు
पॆंडा	गुदा	గుద్ద
पॆंडा पोदूर		ఎర్రటి పేగు
पॆडु	चिल्टा	
पॆंदा अर्रा(आ अर्र‍ता उंदि मूला)	देवघर	
पेंका	कवेलू	పెంకటిల్లు
पेकिंग	लड़कीयाँ	
पेकूर	बच्‍चे	కుమారులు
पेकूर-पेकीं		కుమారులు
पेकूर-पेकीं		కుమారులు
पेक्‍लिसी होनमड़	उखड़ना	
पेग दोहमड़	कपड़ा बांधना	పేగు కట్టడము
पेगिड	लड़की	కూతురు; బా‍లిక
पेग्‍गेरी		పెగ్గెరి
पेटि	पेटी	హార్మోని
पेट्रोल	पेट्रोल	పెట్రొల్
पेडाल	बालक	కొడుకు; బాలుడు
पेगिड	लड़की	కూతురు; బా‍లిక
पेकिंग	लड़कीयाँ	
पेडे		గింజ
पेत्ते	चिंटी	చీమ
पेदवि	होंठ	పెదవి
पेदा पापेर	तितली	సీతాకోక చిలుక
पेदा मनकल	बड़ा आदमी	ముఖ్య వ్యక్తి
पेदाकसेर	बड़ा छूरी	కత్తి
पेद्दा	बड़ा	పెద్దది
पेर्सा बोट्टा	अँगूठा	
पेद्दोड	बड़ा	పెద్దవారు
पेद्दा काल्‍क	बड़े पैर	
पेद्दा टोकेरा	बडा टोकरी	పెద్ద గంప్ప
पेद्दा नोंडे	बड़ा रस्‍सी	పెద్ద త్రాడు
पेद्दा पीटद	बड़ी पेटवाली	పెద్ద కడుపు ఆమె
पेद्दा बंडा	बड़ा पत्‍थर	పెద్ద రాయ
पेद्दा लोल्‍लिते	बड़े आवाज से	
पेद्दि	बड़ी माँ	పెద్దమ్మ
पेद्देगिन्ने	परात	
पेद्दोड	बड़ा	పెద్దవారు
पेन	ईश्‍वर	దేవుడు
पेन-गडा		దేవుని స్థలము
पेन-गडा		దేవుని స్థలము
पेनेम	तावा	సరాతము
पेपि	बड़े पिताजी	పెద్ద నాన్న
पेय्या	बछड़ा	లేగ; దూడ
गोड्‍क-गोदाल्‍क		ఆవులు; బర్రెలు; మేకలు
पेय्या काल	बच्छडे का पैर	లేగ కాలు
पेय्‍समड़	निकलना	ఎల్లడం
पेरकुन्‍मड़	चुनाव	
पेरगु	दही	పెరుగు
पेरतव	चुना हूआ	
पेरकुन्‍मड़	चुनाव	
पेरमड़	उठाना	ఎరడము
पेर्सा बोट्टा	अँगूठा	
पेलका दोसमड़	पेचिश	
पेल्‍कतदुन तेंडमड़	टट्टी साफ करना	
पेल्‍कना जॆगा	टट्टी करने की जगह	
पेल्‍कमड़	टट्टी करना	
पेल्‍ला	ढेला	
पेसेल	मूंग	పెసలు
पैडीकंटे	उल्‍लू	
पैपू	पाईप	పైపు
पैय्‍युडु	फटना	పగిలింది
पैलंच्मड़	फैलना	
पॊंगुड़		కారడము
पॊगुल्‍क	बाली	పోగులు
पॊंडमड़	पहनना	కట్టుకోవడము
पॊता	पोता	సంచి
पॊतु बर्रे	भैस	దున్న పోతు
पॊतू	नर	మగ పశువు
पॊतू नय्यू	कुत्ता	కుక్క(మగ)
पॊरड	साँस	అత్తమ్మ
पोक्‍का	गड्‌ढा	పొక్క
पोक्राल	खोखला	
पोंगसेके मनना मोसोर	बहता हुआ नाक	
पोंगिच्मड़	उबालना	
पोंगुड़ वेहामड़	झूठ बोलना	
पोग्‍गो आकी	तंबाखु का पत्ता	పొగాకు ఆకు
पोग्‍गो तिन्‍मड़	तंबाखू खाना	పొగాకు తినడము
पोङमड़	बहना	పోంగడము
पोचमड़	फेंकना	పారెయడము
पोटॅशियम	पोटॅशियम	పొట్యశియం
पोंटोल	कलम	కలము
सिस पेंसिल	पेन्‍सील	పెన్‌సిల్
पोट्टिगा		పొట్టి
पोट्टिद		మొండి; కురుచ
पोट्टे	कोड़ा	కమ్చీ
पोडगु	लंबाई	పొడువు
पोड्द	सूरज	సూర్యుడు
पोड्द-पेय्‍सनाल	भोर	
पोड्‍द तिरियतंका	दोपहर बाद	మధ్యానం
पोड्‍द पेय्‍सना वॆला	सुरज उगने का समय	ప్రొద్దు వెల్లె సమయము
पोड्द-पेय्‍सनाल	भोर	
पोतिच्मड़	जलाना	
पोतु जिवराशी	नर पशू	మగ జివరాశులు
पोतु पिट्टे	नर पक्षी	మగ పక్షీలు
पोतू गुर्रम	घोडा	మగ గుర్రం
पोतू मग्‍गुर	नर मगर	
पोत्तंता	जलता है	మండుతుంది
पोत्ती पीर	पेट	పొత్తి కడుపు
पोत्तुडु	जलना	మండుట
पोतिच्मड़	जलाना	
पोदा		కొమ్మ
पोदा	झाडी	పొదా
पोदूर	अंतड़ी	పేగు
पॆंडा पोदूर		ఎర్రటి పేగు
पोन्‍गू	जंगली कबुतर	అడవి పావరం
पोपडम मरा	पपई का पेड़	రావి (చెట్టు)
पोम्मडेंगीं वड्‍कमड़	शहणपण करना	
पोया	धुवा फुंकना	పొగ త్రగుట
पोय्‍स्मड़	छौंकना	తాలింపువేయు
पोराल	बच्‍चा	పిలగాడు
पोरोटाल	ऊपर से	పై నుండి
पोरोल	नाम	పేరు
पोर्का	पौधा	
पोर्रो	ऊपर	పైన; మీద
पोरोटाल	ऊपर से	పై నుండి
पोर्लुसेके होनम्ड़	पलटते हुए जाना	
पोर्सू	चिल्‍टा	
पोलम	धानाड़ी स्‍थल	పొలము
पोलाद	पोलाद	
पोलादता तुकडा	पोलाद का टुकडा	
पोलादता तुकडा	पोलाद का टुकडा	
पोलाला नेला	श्रावण महिना	శ్రావణం
पोलेसा (मर्रा)	पेड़	
पोल्‍ले	बात	మాటలు
