Gondi Word	Telugu Meaning
అక్కల్	బుద్ధి
అక్కొ	తాత
అక్కొ మామల్	తాత మామయ్య
అక్డెమాత	ముడుచుకు పోవడం
అక్ర	(11) పదకొండు
అక్సెదన దివొస్	పెళ్లి రోజు
అక్సెర్	అక్షరం
అకుర్పొక్ (మహ్న)	భాద్రపదం
అగ్గ	అక్కడ
అగ్గటొర్	అక్కడివారు
అఙె	వదిన
అచనక్	ఆకస్మికంగా
అచ్చొర్	అంత
అచ్చోడ్ రొప్పొ	అంతలో
అచ్వీర్	అంతమంది
అచొట్క్	మామూలు
అజుక్	ఇంకా
అట్కీ కీత	వేలాడదీయు
అట్కుల్క్	అటుకులు
అట్కె మాత	ఊపిరి ఆగింది
అట్ట	వంట చెయ్యి
అట్లాంటిక్ సమ్దుర్	అట్లాంటిక్ మహా సముద్రం
అట్వల్	వంట చేయుట
అటుమ్ కుటుమ్	చుట్టాలు
అటొ	ఆటో
అడ్డబుడ్డ	అడ్డదిడ్డమైన
అడ్డమ్	అడ్డముగా
అడ్డమ్ ఆ-	అడ్డుకో
అడ్డంవడి	అడ్డంగా వచ్చే గాలి
అడ్డె	మానిక
అడ్ముట్యల్	మోటుగా ఉండేవాడు
అడ్-	ఏడవడం
అడిచ్	రెండున్నర
అద్	అది
అదెన్‌లాసి	దానికోసం
అద్మ	నొక్కు
అద్యయ్ కీమ్	అధ్యయనము చేయు
అద్లి	తవ్వ
అదిక్	రెట్టింపు
అదిక్న	ఎక్కువ
అదికార్	అధికారం
అదెన్	దాని
అంతర్	అంతరము
అంద్రియల్	రేచీకటి గలవాడు
అంద్‌త	అందడము
అంటార్కిటికా	అంటార్కిటికా
అంటి	ఆ రోజు
అంచు	అంచు
అంగుర్	ద్రాక్ష
అందూని	కట్నం
అంచె	చిన్న గంప
అందెజ	అంచన
అన్‌ బావ్	అనుభవము
అన్‌మన్	అనుమానం
అనంద్నె పిస్వల్	ఆనందంగా జీవించు
అని	మరియు
అప్టెమాయ్వల్	తాకటం
అపుస్వల్	ఆపుట
అబ్బా	అబ్బా
అబ్రి	అవతలికి
అబ్లుక్	విచిత్రం
అంబడి	జనుము
అమ్డి కియ్వల్	ఆక్రమించు
అయ్యొ	అయ్యో
అయ్వెకె	కాకపోతే
అయిన జావ	పోచమ్మ పూజ
అర	పడు
అరంత	పడుట
అరబ్బి	అరబ్బి
అర్కిటిక్ సమ్దుర్	అర్కిటిక్ మహా సముద్రం
అర్గ్-	కరిగిపోవడం
అర్త	పడి పోయింది
అర్త్	అర్థము
అర్దొ	సగము
అర్దొ గోల్	అర్ధ గోళం
అర్దొ సరి-	సగం దారి
అర్రె	హా
అర్సివాయొ	తేడా
అర్-	పడి పోవడం
అరిల్	రొమ్ము
అరిల్ బోయిండ	ముచ్చికము
అరిసొన్	సహాయం చేయు
అరుసిమ్	పడగొట్టు
అలగ్	వేరుగా
అల్జ్-	ఒరగటం
అల్లం	అల్లం గడ్డ
అల్లే	కాని
అల్వట్	అలవాటు
అల్స్ పుల్స్	తెల్ల దనం
అల్-	అల్లుట
అవకాస్	అవకాశం
అవ్	అవి
అవ్ట్	ఎనిమిది
అవ్రెమాయొ	ఆపుకోలేక పోవడం
అవ్వల్	అమ్మా
అవ్వల్ బాబో	తల్లి దండ్రులు
అవ్వల్	పోచమ్మ దేవత
అవి-	అలిసి పోవడం
అవెక్నగ	వాటిలో
అసల్	అందమైన
అస్క్-	కోయడం
అస్కె	అప్పుడు
అస్కెడల్	అప్పటినుంచి
అస్తుర్ కయ్	అరచేయి
అస్తుర్ కాల్	అరి పాదం
అస్లి	మంచిగా
అహన్	దానిలాగా
అహ్చ్-	ఒత్తి పట్టడం
అహ్చ్-	ఒత్తుడు
అహ్నె	అలాగ
అహెర్	సన్మానించడం
ఆకడి	పండుగ పేరు
ఆకడి (-మహిన)	జూలై (జూలై)
ఆకడి (మహ్న)	పండుగ పేరు
ఆకడి (-మహిన)	జూలై (జూలై)
ఆక్టి	వేడిమి కోసం
ఆక్డె మా-	వంకరయిపోవడం
ఆక్రి	చివరి
ఆక్రిత	చివరిది
ఆకార్	ఆకారం
ఆకి బీబట్	చిరుత పులి
ఆకుడ్	కమ్మి
ఆగమె	ఊరికే
ఆగ్రమ్	కోరిక
ఆగ్-	ఆగింది
ఆగుటి	ఆక్రమించు
ఆగుటి కియ్వల్	సొంతం చేసుకోవడం
ఆగె	ఆజ్ఙ
ఆఙ్‌దుడీ	స్నానపు గది
ఆఙ్‌రాయ్సల్	సోమరి పోతు
ఆఙుడ్ అస్టన్	స్నానము చెయ్యడం
ఆఙున్ కస్టల్	సోమరి పోతు
ఆచంద్రల్	రేచీకటి గలవాడు
ఆచర్	ఆచారం
ఆచర్ విచర్	ఆచారం
ఆచ్త	ఎంచదగిన
ఆచ్-	ఎన్నుకోవడం
ఆచారం	పద్ధతి
ఆట్ముటుడి (మర్ర)	ఒక రకమైన (చెట్టు)
ఆటి	ముడి
ఆటి పా-	చుట్టి ఉండడం
ఆటె మా-	ఎండిపోవడము
ఆటెర	అటక
ఆడ	ఒట్టు
ఆడ్ముట్	చిచ్చర పిడుగు
ఆడ్‌మాడ్సొ	బార్యా భర్తలు
ఆడె	ఆడె కట్టె
ఆడెందల్	తెలివి హీనుడు
ఆత	అయింది
ఆతకామ్	జరిగిన పని
ఆతంగ్	అలాంటి
ఆతల్	అటువంటిది
ఆత్మ	ఆత్మ
ఆత్మపేన్	ఆత్మ దేవుని
ఆత్మవడి	గాలిలో ఆత్మ
ఆతి	అత్తమ్మ
ఆతి మామల్	అత్త మామలు
ఆతెకె	అయితే
ఆతొర్	అటువంటివాడు
ఆదత్	అలవాటు
ఆదర్	సహాయంగా
ఆదర్తె సొన్	ఆధారంగా వెళ్లు
ఆదర్తెమన్	ఆధారపడు
ఆదివాసి	ఆదివాసి
ఆన్వల్	ఆనవాలు
ఆంగ్డె	చొక్కా
ఆంజ్-	అందుకో
ఆందున్	దానం
ఆనంద్ ఆమ్	సంతోషించు
ఆనంద్నె	ఆనందం
ఆనల్	చేయగలిగేటట్టు
ఆనల్ సూడ	అయ్యేదాకా చూడడం
ఆప	ఆగు
ఆపతితె	కష్టం
ఆపుస్-	ఆపడము
ఆపే	దానితో
ఆమ్	అవ్వండి
ఆంబ	ఆవు అరుపు
ఆముట్	పండ్లు
ఆయపరొ	అసాధ్యమైన
ఆయర్	చాలు
ఆయ్త్ వార్	ఆదివారము
ఆయ్మకి	కాలేదు
ఆయ్వక్నె	కాకుండా
ఆయ్వల్	కాబోయే
ఆయి	ఏవైన
ఆయొ	కాదు
ఆరమ్	విశ్రాంతి
ఆర్తి కోబ్రె	హారతి కొబ్బరి
ఆర్తెకె	చల్లారిన
ఆర్స	అద్దము
ఆర్-	చల్లారింది
ఆరుస్-	చల్ల
ఆరూ	ముల్లు
ఆరెకుట్ట	కొయ్య
ఆల్మరి	అల్మారి
ఆలి (మర్ర)	రావి (చెట్టు)
ఆవజ్	చప్పుడు
ఆవర	కంచె వెయ్యి
ఆవరి	చాటించేవాడు
ఆవ్రి కీ-	బిగించు
ఆవ్-	దాటుట
ఆవ్వల్	దాటుట
ఆవుస్	అమావాస్య
ఆవూక్	జీవనం
ఆస	ఆశ
ఆస కీమ్	ఆశ పెట్టు
ఆస సెల్లె	ఆశ లేని
ఆస కీ-	కోరుకొనుట
ఆసర	సహాయము
ఆస్కుడ్	ఇరుసు
ఆస్తి	సంపద
ఆస్ర	ఆధారపడు
ఆస్రమ్ సాడ	ఆశ్రమ పాఠశాల
ఆసి వీడ్త	పూర్తి అయ్యింది
ఆసి సొత్త	జరిగిపోయింది
ఆసిర్వాద్	దీవించు
ఆసిసొడిత	జరిగింది
ఆ-	అయింది
ఆంత	చాలు
ఇగ్గె	ఇక్కడ
ఇగ్గె అగ్గ	ఇక్కడ అక్కడ
ఇగ్గెటల్	ఇక్కడి నుండి
ఇగ్గెన్	ఇక్కడ
ఇగ్గెవర	ఇటు రా
ఇఙె	ఇప్పుడు
ఇచ్చ	అభిప్రాయం
ఇచ్చుక్	కొంత
ఇచ్చుంగ్	కొన్ని
ఇచ్చుర్	కొద్దిగా
ఇచ్చుస	కొంచెం
ఇచ్చొర్	ఇంత
ఇచ్విర్	ఇందరు
ఇజ్జత్	పరువు
ఇట్కె	ఇటుక
ఇట్ట	ముట్టు
ఇట్టొన్	ముట్టను
ఇట్-	ముట్టుట
ఇత్త అచ్చొర్	కోరినన్ని
ఇత్త అద్	అనుకున్నది
ఇత్త కాడ్కి	చెప్పినందుకు
ఇత్తల్ కీ-	అనడము
ఇత్తెకె	అంటే
ఇద్	ఇది
ఇదెన్ లాసి	దీని కొరకు
ఇదెన్ మొడి	ఇలాంటి
ఇద్దె	తీసుకో
ఇద్దె సరి-	ఇదే దారి
ఇన్కె ఇన్కెన్	ఇప్పుడే ఇప్పుడు
ఇన్కె సెల్లె	ఇప్పుడు లేదు
ఇన్కెడ	ప్రస్తుతం
ఇన్కెడల్	ఇప్పటినుంచి
ఇంజన్	ఇంజిను
ఇంద్కె వేరి	వర్తమానం
ఇంద్కెన్	ఇప్పుడే
ఇంద్రజాల్	ఇంద్రజాలం
ఇంద్రబాన్	ఇంద్ర ధనుస్సు
ఇంగుమ్	ఇంగువ
ఇందుస్వల్	అనిపించడం
ఇంకె	ఇప్పుడు
ఇంకెన్	ఇప్పుడే
ఇంజెర్	కుదిర్చిన
ఇన్-	అనుకోవడం
ఇనమ్	బహుమానం
ఇనయ్	ఈనాయ్
ఇమన్	నిజాయితీ
ఇయెండ్	ఈ సంవత్సరము
ఇర్-	ఉంచు
ఇలజి	ఏలకులు
ఇవ్	ఇద్దరు
ఇసబ్	ఆసక్తి
ఇస్టమ్	ఇష్టము
ఇస్టిల్	ఉక్కు
ఇస్టుల్	బల్ల
ఇస్రు గుండి	అందరి కంటే చిన్నవాడు
ఇసొబ్	లెక్క
ఇసొబ్నె	జాగ్రత్తగా
ఇహిన్	ఈ రీతిగా
ఇహిన్ బహన్	ఇలా ఎలా కానిచ్చావు
ఈచ్-	చీమిడి తీయడం
ఈతంగ్	ఇటువంటివి
ఈతల్	ఇటువంటిది
ఈతొర్	ఇలాంటివాడు
ఈపె	దీని తోటి
ఈర్-	నీరు జమకావడం
ఈస	భాగం
ఈసర	సైగ
ఈసుల్ (పుడి)	ఉసుల్లు
ఉక్క	పొలుసు
ఉక్డి కియ్వల్	ఉడికించు
ఉక్డె	చెమట
ఉక్డే మా-	చెమట వచ్చింది
ఉక్లి	ఒక రకమైనా వేషధారణ
ఉక్‌సుల్	ఉక్కులు
ఉకుడ్ యేర్	చమట నీళ్లు
ఉగ్డొయ్	తెరిచి ఉంది
ఉగ్డొ కీమ్	తెరుచు
ఉగ్రెమా-	కరగడం
ఉగెమాయో	ప్రసవించదు
ఉచ్ ఉడియ	ఉమ్మి వేయు
ఉచ్చ్-	కూర్చొని
ఉచ్చెలల్	ఉల్లాస వంతుడు
ఉచ్-	ఉమ్ము
ఉచుటి (మర్ర)	ఖర్జూరము (చెట్టు)
ఉజ్డే మా-	తెల్లారింది
ఉజుడ్	వెలుతురు
ఉజుడ్‌ పాత	తెల్లారింది
ఉజుడె మాయ్వల్	ఉదయించడం
ఉట్ట	తాగింది
ఉటీ కీ-	తోము లేదా కడుగు
ఉటేడ డాగ్	పసుపు రాసి
ఉడ్క్-	మూత్రం చేయడం
ఉడ్క్‌వల్	మూత్ర విసర్జన
ఉడ్ప్-	ఎత్తడం
ఉడివల్	ఉమ్మి వేయడం
ఉడి-	ఉమ్ముట
ఉడుమ్ (పుడి)	ఉడుము
ఉత్త మొసొర్	నడ్డి ముక్కు
ఉత్తొర్	కూర్చున్న
ఉద్ గటన్	గృహ ప్రవేశం
ఉద్బతింగ్	అగర్బత్తీలు
ఉద్రి (పెత్తెంగ్)	చెదలు
ఉద్రి వెలుమ్	చెదలు పట్టడం
ఉద్-	కూర్చో
ఉదుస్-	కూర్చోబెట్టు
ఉంది	ఒక్కటి
ఉందితున్	ఒకదానికి
ఉందియ్	ఏక వచనం
ఉందుంది	మరొక
ఉన్-	త్రాగు
ఉండన	త్రాగు
ఉనొడ	ఎండకాలం
ఉపదేస్	ప్రబోధనం
ఉపసర్పంచ్	ఉప సర్పంచ్
ఉప్యోగ్	ఉపయోగం
ఉబ్బిపాత	పదునెక్కింది
ఉండె	మరియు
ఉంబర్	వయసు
ఉయ్సర్ ఆ-	తెలివిగా తయారు కావడం
ఉయ్సర్‌ వాలె	తెలివి గల
ఉర్కి	త్వరగా పూర్తిచేయు
ఉర్స్‌వల్	నాటడం
ఉరి కంబ	ఉరి తీసే స్తంభం
ఉరి తెండ	ఊపిరి తియ్యి
ఉరిత	కరిగిన
ఉరుంగ్-	విరిగింది
ఉరుస్-	విరిచేయడం
ఉల్	మూత్రము
ఉల్ పొపొట	మూత్రాశయం
ఉస్క్-	ఉమ్మడం
ఉస్కె	ఇండ్లు కట్టడానికి పనికి వస్తుంది
ఉస్డె ఆమ్	అప్పుచెయ్యి
ఉస్మ్-	తుడుచు
ఉస్మ	తుడువు
ఉస్-	దంచు
ఉసిర్ కీ-	ఆలస్యము
ఉహ్క్-	ఊదడం
ఉహ్వల్	పెట్టడం
ఉహ్-	తాపడం
ఊకడ్	ఉయ్యాల
ఊచ్ డేండె	చెరకు
ఊటి కీమ్	తోముకో
ఊటెడ	రాసే పసుపు గందము
ఊడ్తవాలె	సారవంతమైన
ఊడ్-	దూసుకోవడం
ఊడ్-	దున్నడం
ఊడ్వల్	దున్నడం
ఊడి కియ్వల్	బాంబుతో పేల్చడం
ఊడి పాయ్వల్	దునుకుట
ఊతర్	వాలు
ఊత్-	పీల్చుట
ఊత్వల్	పీల్చుకోవడం
ఊత్‌ పాయ్వల్	పైకి కనిపించడం
ఊతి (పిట్టె)	బుర్రు పిట్ట
ఊదర్	బాకీ
ఊంద్-	గుంజు కోవడం
ఊంగ్-	ఊగడం
ఊంగ్వల్	ఊగటం
ఊమ్-	లాగడం లేదా ఇగ్గడం
ఊయ్‌సర్	తెలివిగల
ఊయిల	వాంతికి రావడం
ఊస	వరద
ఊస్-	మేగడం
ఊస్-	పొంగింది
ఊస్త	పొంగింది
ఊస్-	మేగుడు
ఎకరి	ఒంటరిగా
ఎక్కర్ జాగ	ఎక్కువ విస్తరణ
కక్రంజ్	కమ్జు పిట్ట
కక్-	వాంతులు చేయడం
కచబిచ్	గందరగోళం
కచ్కుడ్	వేడిని మల్చుటకు
కచ్చి	ఇనుము
కచ్చి వీసి	పచ్చ ఈగ
కచ్-	కరుచు
కచురి	కార్యాలయం
కచురిత	కార్యాలయానికి చెందిన
కచెడ	చెత్త
కజుర్	ఖర్జూరం
కటర్	కత్తి
కట్ట	కట్ట
కట్ట	కట్ట
కట్టుడి (మీన్)	జెల్ల జ
కట్టె	కలప
కట్టె సూడి	కట్టెల మోపు పెట్టే చిన్న పందిరి
కట్టె కొయ్వల్	కట్టె కోయడం
కట్టె గోంగొర (పుడి)	కట్టె పురుగు
కట్టె నూసి	కట్టె తినే పురుగు
కట్టె పొంటిన్	పెన్సిల్
కట్టెడె మా-	అలసి పోవడం
కట్టొ	వద్దు
కట్త	కలుపు
కట్ల	ఇంటిసామాను
కట్సి సొత్తెర్	కలిసి పోయారు
కటిన్	ఇబ్బంది యైన
కటింత	ఇబ్బందిగా
కటొడల్	పూజారి
కడగోటి కియ్వల్	కళ్ళం చదును చేయుట
కడ బిడ	ఇక్కడ అక్కడ
కడక్	చిన్న బండలు
కడల్ పిడల్	ఒక రకమైన చప్పుడు
కడ్	కన్ను
కడ్ కొండ	కను బొమ
కడ్ తొయ్త	కన్ను ఉబ్బింది
కడ్ పిహ్తొర్	కన్ను మూశాడు
కడ్ మయ్ల	కంటి మైల
కడ్ మింది	కను బొమ
కడ్ వేడ్చి	పగటి పూట
కడ్క్ దీపెమాయ్వల్	కళ్లకు కనబడకుండా
కడ్కి	జంతువుల యోని
కడ్డు	చెడ్డవాడు
కడ్దపూల్	కంటి పువ్వు
కడ్దె	చూపుకు
కడ్బ కాసుర్	చొప్ప బండి
కడ్యల్	పులి
కడ్‌ కొండ	కను బొమ
కడ్‌ పాయ్వల్	కంటి సైగ
కడ్‌ వాంత	కన్ను
కడా	కోటి
కడి	మదురం
కడి	పల్లవి
కడివక్నె	కుళ్ళి పోకుండా
కడివల్	చెడి పోవడం
కడుస్-	దూర్చడం
కడుస్-	మురగ బెట్టడం
కడె	కడియం
కతమ్ కీ-	చంపుట
కత్తుల్	సీసము
కత్తెర	కత్తెర
కత్రీ కీ-	కత్తిరించుట
కతెలల్ (తరస్)	ఒక రకమైన పాము
కదర్	మర్యాద
కదియ	కొరుకు
కంజ్క్-	కల
కంగ్వ	దువ్వు కొనుటకు
కంచి	కత్తెర
కంజురి	కంజెర
కంచెర గాది	కంచర గాడిద
కనకంబరల్ పుఙర్	కనకాంబరం పువ్వు
కనకుస్టిన గొస్టి	చెడ్డ మాటలు
కపట్ సెల్వ	కపటం లేకుండ
కప్టి	కపటం
కప్టియల్	అసూయతో
కప్డి	బట్ట
కప్పర్	నుదురు
కప్పింగ్	గుంత
కప్పె (పిట్టె)	పక్షి పేరు
కబ్రియల్	సందేశకుడు
కబ్లె మా-	ఒప్పుకోవడం
కబుక్ కిబుక్	అక్కడ ఇక్కడ
కబుర్	వార్త
కంబ	స్తంభం
కమ్క	పసుపు
కమ్క కప్డి	పసుపు చీర
కండ్	ఖండం
కండి	(20) ఇరవై
కండున్	కటుక్కు మనే చొప్పుడు
కండొక (మర్ర)	వనమూలిక చెట్టు
కమ్మి	తక్కువ
కమ్మిత	తక్కువ
కమ్మివేర్	పరిమిత కాలం
కమ్ర	గది
కమ్సెకమ్	దాదాపుగా
కంపుటర్	కంప్యూటర్
కంపెని	కర్మాగారము
కమల్ పట్టి	ఇంద్ర ధనుస్సు
కమిస్	చొక్కా
కమెయ్	ఆదాయం
కమెయ్ కీ-	సంపాదించుట
కయ్	చేతు
కయ్ బొక్క	చేతి ఎముక
కయ్ బొట్ట	చేతి వేలు
కయ్ ముద్ద	చేతి ఉంగరం
కయ్ద కామ్	చేతి పనివాడు
కయ్దిన్ ఆయొ	చేతకాదు
కయ్దె కొట్ట	చేతితో పొడువు
కయ్దె పామ్	చేతితో కొట్టు
కయ్దెనె ఆయొ	చేతన కాదు
కయ్వర్	రంపం
కయ్‌పత్	వార్త
కయ్‌పత్-సీ-	వార్త చెప్పుట
కయుర్ (మర్ర)	మునగ చెట్టు
కరబ్	పాడు
కరబ్ చాల్	చెడ్డవాడు ప్రవర్తన
కరబ్ చిజ్క్	పనికిరాని వస్తువులు
కరబ్ టొడ్డి	చెడ్డవాడు నోరు
కరబ్ యేర్	మురికి నీరు
కరబ్ వడి	చెడ్డవాడు గాలి
కరబ్ సరి	చెడి పోయిన దారి
కరబ్ సిల్లె	హాని లేనిది
కరబ్న	కలుషితమైన
కరబ్‌ కీమ్	పాడు చెయ్యి
కరల్	వాస్తవం
కరల్ కి లబడ్	నిజమా అబద్ధమా
కరల్ బుద్దిమంత	ఖచ్చితమైన ఆసక్తి ఉన్న
కరల్ వెహ	నిజం చెప్పు
కరస్ కియ్వల్	రద్దు చెయ్యి
కర్క	తుప్పు
కర్క్‌నె	పూర్తిగా కోయడం
కర్చ	డోలు తాడుకు కర్చలు వేస్తారు
కర్చ దొస్వల్	పెట్టుబడి
కర్జ్	గజ్జి
కర్దొడ	మగవారు తొడుగుకునే
కర్ప	పిట్టల గుంపు
కర్పెసల్ తిడింజ్	మృదువుగా లేని గోరు
కర్యదొహ్త	పిందె పట్టడం
కర్వంత	మాడుతుంది
కర్సపిసంగ్	ఆడుకునే దశ
కర్స్-	ఆడుట
కర్‌వస్త	ఆకలి అయింది
కరి కీతొర్	గుర్తుపట్టడం
కరిచిలొర్	శిక్షణ లేనివాడు
కరివల్	నేర్చుకోవడము
కరి-	నేర్చుకో
కరు	ఆకలి
కరు అర్త	కరువు
కరు సాసి	ఆకలితో
కరుత	మాడిపోవడం
కరున్‌ కువరి	అవివాహిత ఉన్నది
కరుమ్	దగ్గర
కరుమ్నెర్	ఇరుగు పొరుగు వారు
కరె మాత	తెలిసిన
కరె మాయ్వక్	అస్పష్టమైన
కరె మాయ్వల్	తెలుసు
కరెట	ఊడ్వడానికి
కరెంట్	విద్యుత్
కరెమాతొర్	తెలిసిన వారు
కరెమాయొ	తెలియనిది
కలకల పోంగ్వల్	గలగల ప్రవహిస్తుంది
కలర్	రంగు ఆడటం
కల్ బట్టి	సారా బట్టీ
కల్ బండ	రాళ్లు పడడం
కల్పన	సంకల్పం
కల్ల	దొంగలించు
కల్ల కీ-	అల్లరి చెయ్యడం
కల్ల గుల్ల	గందరగోళం
కల్లె	దొంగ
కల్లె కామ్	అక్రమ వ్యాపారం
కల్లె దారల్	గుత్తెదారు
కలి-	హత్తుకో
కవ్ట (మర్ర)	మునగ చెట్టు
కవ్డిలీమ్ (మర్ర)	వేప (చెట్టు)
కవ్వుసే	నవ్వించే
కవుడ్	టైపాయిడ్ రోగం
కవుస్-	నవ్వుట
కసటి	గంటలు
కసబిస	చప్పుడు
కసండి	నీరు తీసుకు పోవడం
కస్క్-	కొరుకుట
కస్క్‌లె	కరవబోవడం
కస్ట్ కియ్వల్	కష్టపడువాడు
కస్రియల్	కోపిస్టి
కస్స	లోతైన మడుగు
కసుం	లోతు
కసుర్	తప్పు
కహ	ఎంచు
కహ పర్వక్	లెక్కించ లేని
కహమిహ	ఆకలి మంట
కహరుహ	చెడ్డవాడు వాతావరణము
కహ్వ	లెక్కించకు
కహ్వ	అల్ల కల్లోలం
కహ్వల్	కొలవడం
కహ్వెరల్	తిండి పోతు
కహ్-	లెక్కించుట
కహి సాల్క్	కొన్ని సంవత్సరాలు
క్యాల్	జ్ఞాపకం
క్రిచన్క్	క్రైస్తవులు
క్రుసి (మర్ర)	మునగ చెట్టు
కాకడ్	కాకి
కాకడ్ బోరి (మీన్)	ఒక రకమైన చేప
కాకడ్ మాటి	దుంప
కాకన్	కాకన్
కాకల్	చిన్నాన్న
కాకి	చిన్నమ్మ
కాక్	దిక్కు
కాక్డె	దోసకాయ
కాకి	చిన్నమ్మ
కాకొ	అమ్మమ్మ
కాగుత్	పత్రిక
కాచ్-	తవ్వకం
కాజుడి	కాటుక
కాజూడి దొస్-	కాటుక పెట్టుకోవడం
కాజె	పెళ్లి కూతురు చేసే రోజు
కాట్	అంచు
కాట్ కయుర్ (మర్ర)	మునగ చెట్టు పేరు (చెట్టు)
కాట్న గీతొ	సరిహద్దు గీత
కాట్వత్కె	అంచు
కాటీ	దేవుని ధ్వజం
కాడల్	తేనెపట్టు
కాడల్ గడ్డ	తేనెపట్టు
కాడల్ నియ్	తేనె
కాడ్కి	కొరకు
కాడి	పుల్ల
కాడింగ్	చెత్త
కాడి	చెత్తా చెదారం
కాడి	సిరా పుల్ల
కాడెల్	కన్నీళ్లు
కాత్లె	మొక్క
కాంద	కొమ్మ
కాంతత కొడ్డి	కొమ్మ యొక్క కొన
కాంజ్-	బాహువు
కాంతి	కొమ్మ
కాన్‌దాన్	వంశం
కానర్ తోడి	జలగ మట్టి
కానున్	న్యాయం; తీర్పు
కాప్రి	దేవి నృత్యము
కాపి (పత్తి)	కాఫీ
కాపె	పూతకు వచ్చింది
కామ్	పని
కామ్ కల్లె	పని దొంగ
కామ్ బుడెస్తాల్	పని పాడు చేసేవాడు
కాండి	పిల్లవాడు
కాండిర మంద	పిల్లల సమూహము
కాండిర్ పుట్వల్	పిల్లలు పుట్టడం
కాండుమ్	మాంసపు ముక్క
కామ్న దివొస్	పని దినం
కామ్నగ మన్	పనిలో ఉండు
కామ్‌ సియ్వక్నె	పనికి రాని రకంగా
కామున్ మహ్వల్	పనిని పూర్తి చేయడం
కాయ	కాయ
కాయ్ద	కార్యము
కార ఉద్-	పొదుగు
కారట్	కార్డ్
కారన్	కారణం
కారవొల్వల్	పొదుగు
కార్	కారు
కార్క్‌నె	కాండ్రించి మొత్తం ఉమ్ముట
కార్తి (మహ్న)	కార్తీకం
కార్యల్ బొమ్మి	జలగ రేగడి నేల
కార్వయి	కార్యము
కార్‌బారి	కార్యదర్శి
కారి	నల్లగ
కారి కెక్డె కాల్ (జాడి)	గడ్డి
కారి పెత్తె	జలగ చీమ
కారి మత్	నల్లమందు
కారి రంగ్-	నల్లని రంగు
కారి సెవ్వెర్	నల్లని బంక
కారున్	కర్మ కాండ
కారె (పుర్కి)	పేలు
కారెల	కాకర కాయ
కాలన్	ఉత్తరం
కాల్ వడ్డ	ఉత్తర
కాల్	కాలు
కాల్క్‌నె	కాళ్ళతో
కాల్ కర్త	నమస్కరించడం
కాల్క్ అర్వల్	దీవించడం
కాల్ద కడె	కాలి కడియం
కాలికొమ్	కొమ్ము
కాలెజ్	కాలేజీ
కావంగ్	కీలు
కావ్లి	కలుపు
కావెరి	కావేరి
కాస్	కంచు
కాస్	అవసరం
కాస్ సడె	మేనల్లుడు
కాస్త ఊకుర్	వేడి గాలి
కాస్ర	పగ్గము
కాస్‌కార్	వ్యవసాయం
కాసుర్ సరి-	ఎడ్లబండి వెళ్లేదారి లేదా బాట
కాసుస్-	వేడి
కికలి (జాడి)	ఒక రకమైన గడ్డి
కిచకిచ	విరక్తి
కిచ్వల్	తెంపుట
కిచుడి	చెత్త
కిచెఙర్	అడవిలో చెలరేగే మంట
కిట్క్‌నె ఆత	సూర్యుడు అస్తమించాడు
కిట్కుర్	ఒక రకమైన పురుగు
కిటుక్నె	చప్పుడు
కిటుస్నె ఉరుంగ్త	పుటుక్కుమని విరగడం
కిడమొడ	పూర్తిగా ఎండి పోయింది
కిడ్కి	కిటికి
కిడ్ఙి (మర్ర)	ఒక రకమైన (చెట్టు)
కిడ్డి	ముడ్డి
కినన్	చల్లగా
కినిత	చల్లటి
కియన	చేసుకోవాలి
కియపరొర్	చేయ లేడు
కియవచ్చొ	చెయ్య వచ్చు
