Gondi Sentence	Hindi Translation	Telugu Translation
इर मनकल अगाटोर.	यह आदमी / मनुष्य वहाँ का है।	ఈ మనిషి అక్కడి వారు.
इस्‍कुलता पिलाल्‍कुना अंगीं उंदेतीर मनंतां.	शाला में जानेवाले सभी छात्राओं का कमीज एक ही रंग का होता है।	బడిలొ చదవుకునె బాలల చొక్క రంగు ఒకె రకముగ ఉంటుంది.
एद्दिते कबड़ किसी-किसी अंगी नांदुता.	धूप में काम करने के कारण मेरा शर्ट भीग गया है।	ఎండలొ పని చెయటమ్ వలన చొక్క తడవడము జరగింది.
पेददादना मुत्तो अंगे आंता.	बड़े भैय्या की पत्‍नी भाभी लगती है।	పెద్ద అన్నయ్య భార్య వదిన అవతుంది.
इर मनकल अगाटोर.	यह आदमी / मनुष्य वहाँ का है।	ఈ మనిషి అక్కడి వారు.
होदेल्ते तडमी मासला अग्‍गि डब्‍बा कबड़ कींता.	चुल्‍हा जलाने के लिये आगपेटी काम आता है।	పొయ్యిలో అగ్గి చేయిటకు అగ్గి పెట్టె తో వెలిగిస్తారు.
ना जाडी कुप्‍पक बोर अग्‍गि डब्‍बा गीसतोर?	मेरे तनीस ढीग को किसने आग लगाया?	నా గడ్డికి ఎవరు అగ్గి పెట్టినారు.
कप्‍डींकु, दोतींकु अंचू मनंता.	साडी, धोती, लुंगी को गोट होता है।	బట్టలకు, దోతులకు,లుంగిలకు, అంచు ఉంటుంది.
सिन्ने पिलाल्‍कुनाहाटीं करसला सिन्ने तट्टा मनंता दान अंचे इंचुर.	छोटे बच्‍चों के पास खेलने के लिये एक टोकरी होता है, उसे टोकरी कहते है।	చిన్న పిల్లలకు ఆడుకొవటానికి చిన్న గప ఉంటుంది.
पेविकल बंकाकन्ना एक्‍को गट्टिगा अंटकुंता.	फेविकल गोंद से भी अधिक चिपकता है।	ఫెవికొల్ అనె పధార్థము బంకకన్న ఎక్కొ అంటుకుంటుంది.
अड़कां, बुड्डीं इर्रला लोतुकु अट्‍कु इर्रंतुर.	कुछ सामान रखने के लिये मकान मे अटारी होता है।	ఇంటి సామాను ఉంచుటకు ఇంట్లో అటుకు తయారు చేస్తారు.
गाटो अट्टनाहाटीं एतुन काच्‍हंतुर.		అన్నము వండుటకు నీటిని ఎసరు పెట్టుతారు.
मनम दुब्‍बते, उस्‍केते ताकते मना काल्‍कुना अडगुल्‍कु अर्रंतां.	जब हम धूल के रास्‍ते जायेंगें तब वहा पांव के निशान दिखाई देते है।	మనము ఇసుకలో, బురుదలో నడిస్తె అడుగులు పడుతాయి.
पेडल अळसेर मंतोर.	वह लडका रो रहा है।	పాప ఏడ్సుస్తూంది.
हर्रि पिसि होननेंके तरास अड्डम वाता.	रास्‍ते से जाते समय मेरे आड़ सांप आया।	త్రోవలో నడుస్తు వెళ్ళంగా పాము అడ్డం వచ్చింది.
दान हिके केयट.	उसे यहा बुलाओ।	
तलुर-बाबो हिल्‍वोर्कुन अनात इंतुर.	जिसका कोई नही होता है उसे अनाथ लडका कहते है।	
पेहपेन कीते अगा बोत्तिटोर हेडमितोर वांतुर.	जब पेरसापेन पूजा होता तब सभी जन इक जगह आते है।	పెద్ద దేవుని దగ్గర అందరు కలుస్తారు.
नेलकु उंदि मल्‍का अमासा वांता.	महिने में एक बार अमावस्या आता है।	నెలకు ఒకసారి అమవాస్య వస్తుంది.
ओर वत्तुता जिम्मां/मीन्‍कु अम्मुसेके मंतोर.	वह सुका मच्‍छली बेच रहा है।	ఆయన ఎండుచాపలు అమ్ముతున్నాడు.
कासूरता इरसु अरगुता.		ఎడ్ల బండి ఇర్సు అరిగి పోయింది.
लोता गल्मकु दल्‍गिसि मनना जेगातुन अरगु इंतुर.	मकान के सामने बैठने के लिये जो व्यवस्‍था होता है उसे बरामदा कहते है।	ఇంటి ముందు ఉన్న స్థలమును అరుస అంటారు
यावल-बाबाल मिय्यड्‍कु एटीं,गोड़कु हीते दानु अरनम इंतुर.		తండ్రి కూతురుకు ఇచ్చె మేకలను ,ఆవులను కట్నము అంటారు.
इंदके मा तातल अरवै मूडु वर्सानोर आतोर.	अभी मेरे दादाजी तिरसठ साल उम्र के है।	ఇప్పుడు మా తాతయ్య వయసు అరవై మూడు సంవస్తరాలు ఉన్నయ్.
बस्‍केळ्‍क बंडापोरोटाल एर पॊंगते बंडा अर्गंता.	पत्‍थर के ऊपर से हमेशा पानी बहने से पत्‍थर भी पिघलता है।	
मुरतड एरपूरनेंके दान उंदि वेरे अर्राते इर्रंतुर.		శిశు జన్మ సమయంలో ఆడవారికి ప్రత్యేక స్థలము ఏర్పాటు చేస్తారు.
पेडल हिडु अरसंतोर.	वह लडका नीचे गिर रहा है।	బాలుడు పడుతున్నాడు.
ना नार अहेरी तहसिलते वांता.	मेरा गांव अहेरी तहसिल में आता है।	
निम्मे निन्ने मंचिगा कबडी कर्‌स्तिन.	तू कल अच्‍छा कबड्डी खेला था।	నీవు నిన్న చాల మంచిగా కబడి ఆడినావు.
नावा नाटुक आंद्रा राज्येम दल्‍गिसे मंता.	आंध्र प्रदेश का सरहद मेरे गांव के नजदिक से गुजरता है।	
पोद्दला कबड कियनेंके उंदि गंटासेपन्ना आराम कियगोम.	काम करने के पश्‍चात आराम करना जरूरी है।	వేసవి కాలంలో నడుస్తు వెళ్ళంగా మధ్యన చెట్టు నీడ చూసి విశ్రాంతి తీసుకుంటారు.
नना हव्‍वीं अय्‍ना जिम्मां/मीन्‍क अय्‍ना तिंतन.		నేను చేపలు, కాని మాంసము, కాని తింటాను.
पिलाल्‍क नोंडेतुन इग्‍गसेके/गुंजसेके मंतुर.	लडके रस्‍सी को खींच रहे है।	పిల్లలు తాడును గుంజుతున్నారు.
लोतुक गुरें दोहला इट्‍केंगें वापरे कींतुर.	घर बनाने के लिये ईट का उपयोग होता है।	ఇండ్లు గోడలు కట్టుటకు మట్టితో ఇటుకలను తయారు చేస్తారు.
बटन चालू मनानेंके करंट तीगेतुन इट्टुडु बेस आयो.	बटन चालू रहते समय बिजली के तार को छूना मना है।	
ओर होन इत्ते निम्मे दांतिना?	वह जाने को कहे तो तू जायेगा?	ఆయన తిట్టినాడు అంటే వెళ్ళినాడు.
एनकटा लोकुल्‍क इत्तोड तालीते एर उनुंदुर.	पुराने जमाने में लोग पानी पीने के लिये पितल का लोटे इस्‍तेमाल करते थे।	
इद नीवा लोने ना?	यह आपका घर है?	
नाकु नी कोंदा गावाले, इदुन हाटीं नना वातन.	मुझे आपका बैल चाहिये, इसलिये मै आया।	
इद ना लोन, इदुनलेंसी इंका बोरदे लोन हिल्‍ले.	यह मेरा घर है, इस तरह का घर कहीं भी नहीं है।	
नाकु नी कोंदा गावाले, इदुन हाटीं नना वातन.	मुझे आपका बैल चाहिये, इसलिये मै आया।	
इदे ई पेडन एत्ता.	लो, इस बच्‍चे को पकडो।	
इनुडु कस्‍टम आयो गानि कियमड़ मात्रम कस्‍टमे.	कहना तो आसान है, पर करना बहोत कठीन है।	
इय्योड पिर्रु इरगा वाता.	इस साल वर्षा/बारीश अधिक हूई।	
इय्योड इरगा पिर वाताहेंका पंटां पाड आतां.	अधिक वर्षा/बारीश होने कारण किसानों का बहोत नुकसान हुआ।	
नना मुंदुक इरवै उंदि वर्सानोन आंतन.	मै अगले साल इक्‍कीस साल का हो जाऊंगा।	
नावा पेदा दादल इरवै एनमिदि वर्सानोर मंतोर.	मेरा बड़ा भाई अट्ठाईस साल का है।	
मा मामांक इरवै तोम्मिदि वर्सां मंतां.	मेरे मामा उनतीस साल का है।	
इरवै नालूं वर्सां आतंका मरमीं आयगोम	चौबीस साल होने के बाद शादी करनी चाहीये।	
इर्क मराता पेडेकुना निय तेंडांतुर.	महुआ के पेड़ के फल से तेल निकालते है।	
कोत्तां बगा दोर्कते-अगा इर्रुडु बेस आयो.	पैसा जहां चाहे वहां रखना उचित नही है।	
इल्‍हा आंता इंचि बोर्के एर्का मनाहिल्‍ले.	इस तरह होगा, किसी को भी नही मालूम था।	
इद इल्‍हा बल्‍हा आता?	यह सब कैसा हुआ?	
इव पुस्‍तकाल्‍क पीसि निम्मे इस्‍कुल्‍क होन्नु.	ये किताबे लेकर तू पाठशाला मे जा।	
नाकु इव्‍वुर केडा मनकालोर कलियतुर.	मुझे जो जंगली मनुष्य मिले वह दो जण थे।	
नाकु इव्‍वुर केडा मनकालोर कलियतुर.	मुझे जो जंगली मनुष्य मिले वह दो जण थे।	
मनकालोर्क इसंटद पच्‍चा पन्ने तिनुर.	मनुष्य जो मेंढक खाता है, वह इस तरह का नही होता।	మానవులు తినె కప్ప ఆకుపచ్చ కప్పకాదు.
दिनकन्ना मुन्ने इसंटां बच्‍चूंगों दुमाराल्‍क वातां.	इसके पहले भी इस तरह के कितने भी तूफान आये थे।	
नाटेना पिलाल्‍क अंटोर हद्वुकुनाला नाटेना इस्‍कुल्ते दांतुर.	गांव के सभी बच्‍चे पढ़ाई के लिये गांव के पाठशाला में जाते है।	బాలురు, బాలికలు, చదువుకోవడానికి ఊళ్ళలో పాఠశాలలున్నాయి.
इस्‍टम हिल्‍वा कबड बस्‍केने कियमनी.	कोई भी काम जबरदस्‍ती से नही करनी चाहीये।	
लक्‍का मॆडाल्‍क इद नावा इस्‍टामाता जॆगा.	लक्‍का मॆडा परबत यह मेरा पसंदीदा स्‍थल है।	
पोराल सेंडि इस्रुसंतोर.	बच्‍चा गेंद फेंक रहा है।	అబ్బాయి బంతిని విసురు తున్నారు.
इहिन आंता इंचि बोर्के एर्का मनाहिल्‍ले.	ऐसा होगा किसी को मालूम नही था।	
एरा बोट्टु कियनेंके पेगिड-पेडल वरोना वेदुक/वड़जुंक वरोर उंगरम तासकुंतुर.	सगाई के दिन दुल्‍हा-दुल्‍हन एक-दुसरे के उंगली में अंगुठी चढ़ाते है।	
जोर- जोरते वड़क्ते तोडदाल उच्‍चुल पलते अर्रंता.	जोर-जोर से बात करने से मुह से थूक बाहर आता है।	
सिना पिलाल्‍क कटुल्तेने उडकंतुर.	छोटे बच्‍चे खटिये में ही पिशाब करते है।	
उत्रम राससि हिकेटा पोल्‍लें हेके वेहा वांता.	पत्र लिखकर इधर की बातें उधर बता सकते है।	ఉత్తరము ద్వరా ఇక్కడి మాటలు అక్కడ చెప్ప గలము.
नाटे पंचादि उपिस्‍ते नाटेनोर अंटोर उंदगा जमा आंतुर.	गांव में पंचायत बुलाने से गांव के सभी सदस्य एक जगह जमा होते है।	
पेरसापेन कोय्तोरा उंदि पेद्दा पेन.	पेरसापेन यह आदिवासीयों का इक अहम ईश्‍वर है।	
उंदि हारीतुन नालूं तुकडां कीते उंदि तुकडातुन पाव इंतुर.	इक रोटी का चार टुकड़े करने से इक टुकडे को पाव भाग कहते है।	ఒక రొట్టెను నాలుగు ముక్కలు చేస్తే ఒక ముక్కను పావు అంటారు.
उंदि मल्‍का नना मरा पोरोटाल हिड अरतन.	इकबार मै पेड़ के ऊपर से नीचे गिरा था।	
मरमींनगा गाटो तिननेंके लाइनसिर उप्‍चांतुर.	शादी में खाना खाते समय सबको लाईन में बिठाते है।	
पेडल हिडु उद्दिस मंतोर.	बच्‍चा नीचे बैठा है।	పిల్లలు క్రింద కూర్చోని ఉన్నారు.
मरमींनगा गाटो तिननेंके लाइनसिर उप्‍चांतुर.	शादी में खाना खाते समय सबको लाईन में बिठाते है।	
दुकानमते नावद उद्देरा काता मंता.	दुकान में मेरा उधार खाता है।	
हकेड्‍क-हकेड्‍क पिलाल्‍क गिलासमेड पाल उनना.	सबेरे-सबेरे बच्‍चे एक गिलास दूध पीना सेहत के लिये अच्‍छा है।	పిల్లలు ప్రొద్దున పాలు త్రాగాలి.
पेय्या गोड्डुनगा पालू उंटा.	बच्‍छडा गय्या के पास दूध पीता है।	దూడ ఆవు దగ్గర పాలు త్రాగుతుంది.
हकेड्‍क-हकेड्‍क पिलाल्‍क गिलासमेड पाल उनना.	सबेरे-सबेरे बच्‍चे एक गिलास दूध पीना सेहत के लिये अच्‍छा है।	పిల్లలు ప్రొద్దున పాలు త్రాగాలి.
बल्‍हा कीसि अय्‍ना ई आटा गेल्‍सना उपायम कियगोम.	कीसि भी हालत में यह सामना जीतने का योजना बनाना पडेगा।	
हेडमितोर वाते ओर्कु कुर्सि वाट्‍सि उपिच्‍गोम.	मेहमान आने से उन्‍हे खुर्ची डालकर बिठानी चाहिये।	
कोत्तना उप्योग मंचि/बेस कबडताहाटीं कियगोम.	पैसों का प्रयोग अच्‍छे काम के लिये करनी चाहीये।	
केडाते मराकुना बोल्‍कुने,पुत्तिने उर्रुम मनंता.		అడవిలో, పుట్టలలో చెట్ల తోఱ్ఱలలో ఉడుములు ఉంటాయి.
मुत्तो-मुय्‍दो उर्रें अरसंतुर.	पती-पत्‍नी झगड़ रहे है।	ఒక మనిషి ఒక ఆడ ఆమె చాల కొట్లాడుకున్నారు.
कारम उस्‍सला उसमल कबड्‍क ओज्‍जंता.		కారం నూరిటకు రోకలి పనికి వస్తుంది.
पोगो तिननोर बस्‍केड़क उस्‍कुसेकेने मनंतुर.	तंबाखू खानेवाले हमेशा थूकते रहते है।	
बेरेटे एक्‍को उस्‍के मनंता	नदी में बालू अधिक होता है।	
उसमाल्ते वंजी उस्‍संतुर.		వీరు రోకలితో వడ్లు దంచుతున్నారు.
सिने पिलाल्‍कुंक एर उना वायो इंचि मनामे ओर्क उहुडु गावाले.	छोटे बच्‍चे पानी स्वंय नही पी सकते इसलिये उन्‍हे हम पिलानी चाहिये।	
नाकु सोनय उह्‍का वांता.	मुझे शहनाई बजाना आता है।	
सिने पिलाल्‍कुन ऊकडते मींडसंतुर.	छोटे बच्‍चों को झूले में सुलाते है।	
सिने पिलाल्‍कुंक उकळ ऊंगमड़ इरगा इस्‍टम.	छोटे बच्‍चों को डोलना बहोत पसंद आता है।	
ताडी मरक वडीकु इरगा ऊंगंता.	ताड़ी के पेड़ हवा आने बहोत डोलते है।	
नॆदे नांगेल्ते उडांतुर.		నాగాలితో చేనును దున్నుతారు.
कुडेह्‍कुन पीसि बेस्रम पोर्कने ऊत पिट्टें मनंतां.		వాగులోగాని, బెషరం పొరకలలో గాని పూరేడు పిట్టలు బాగా ఉంటాయి.
जेनगा पियानय्ते अद नेत्तुटुन ऊतंता.	झळू अपने खून को चूस लेता है।	
ऊर बिस्‍के लोह्‍कुन पीसि मनंता.	चिमणी घर-आंगण में पाये जाते है।	
एर तुंगतंका पिलाल्‍क-पेद्दल्‍क तला ऊसंतुर.		స్నానం చేయించి పిల్లల తల దూస్తారు.
कट्टें तरला गुट्टां एक्‍किस होनापींता.	लकड़ीयाँ लाने के लिये पहाड़ चढ़कर जाना पडेगा।	కట్టెలు తేవడానికి గుట్ట ఎక్కరు.
ओर अंटोर मरापोरो एकसंतुर.	वे सब पेड़ पे चढ़ रहे है।	వీరందరు చెట్టు పై ఎక్కినారు.
गोंदकेते बतलना हिर्कुते एक्‍कुल्‍कु तेदंतां.	गले में कुछ लटकने से हिचकी लगता है।	
एक्‍को गाटो तित्ते पीर नोंता.	बहुत खाना खाने से पेट में दर्द होता है।	
कोया मरमीने पल्‍हीनाल एगरंतुर.	गोंड समाज के शादीयों में रातभर नाचते है।	స్త్రీ, నృత్యం చేస్తున్నారు.
एटो कर्णपोक्‍कते मनंता.	खेकड़ा खड्डे में पाया जाता है।	
रोज इच्‍चो रोज इच्‍चो बकगा आसेक मंतोर, बारी इत्ते ओन्‍कु वेल्‍लन रोजुकनाल एडकी वासंता.		రోజు రోజుకు తగ్గుతున్నాడు ఎందుకంటే జ్వరముతో ఉన్నాడు.
१५ आगस्‍ट एडादिक उंदिमल्‍के वांता.		సంవత్సరంలో తేది: 15 ఆగష్టు 26 జనవరి నా జెండాను ఎగురువేస్తారు.
दुनियता अंटोरकन्ना एत्तु मनकना एत्तु तोमिद मूल्‍क मंता.	दुनिया का सबसे ऊंचा आदमी की ऊंचाई नौ फीट है।	
मावा नाटे वेल्‍लेन एत्तुना ताडी मरा मंता.	मेरे गांव में बहुत ही लंबा ताडी का पेड़ है।	
कोंगा कुडेह्‍क, बेरेह्‍कुन पीसि मनंता.	बगला नाला, नदी के किनारे पाया जाता है।	
नना दांतन, मा तम्मुर ना एदुर हूडसेके मंतोर.	मै चलता हूँ, मेरा भाई प्रतिक्षा कर रहा है।	ఎక్కడికి వెళ్ళుతున్నావు ఆగు నేను కూడ వస్తాను.
पोड्‍द पेय्‍स्‍ते एद्दी आंता.	सुबह होने के कुछ समय बाद धूप लगता है।	ఉదయం అయితే ఎండ వస్తుంది.
एद्दी कालम हक्‍केटाल अय्ते पोड्‍द होननाल इरगा एद्दी मनंता.		వేసవి కాలంలో ఉదయం నుండి సాయంత్రం వరకు చాల వేడిగ ఉంటుంది.
एद्दी कालम हक्‍केटाल अय्ते पोड्‍द होननाल इरगा एद्दी मनंता.		వేసవి కాలంలో ఉదయం నుండి సాయంత్రం వరకు చాల వేడిగ ఉంటుంది.
एंडा कालम इरगा एद्दि तेर्रंता.	धुपकाल में बहोत धूप होता है।	
मा काकोंक नाडीकय्ते एनबै वर्सां पुरागा आंतां.	कल मेरी दादी माँ अस्‍सी साल की होनेवाली है।	
नावा कालेज एनबै उंदिते सुरुव आता.	मेरा महाविद्यालय इक्यासी मे शुरू हुआ।	
राजेश एनबै एनमिदिते पुटतोर.	राजेश का जन्‍म अट्‍ठासी में हुआ।	
मा सुदीर एनबै तोम्मिदते पुटतोर.	हमारा सधीर नवासी में पैदा हुआ।	
मा अम्मल एनबै नालूं वर्सां पिस्‍ता.	मेरी दादी माँ चौरासी साल तक जिवित रही।	
मा पेदा दादना सिने मिय्यड एनमिदि वर्सनद आता.	मेरे बड़े भैय्या की छोटी लडकी आठ साल की हूई है।	
लोतुक वासां कोट्टला एनागरा वासम मनंता.		ఇంటి వాసాలు ఇటు అటు కొట్టుటకు ఆడే కట్టె ఎనీగర తయారు చేస్తారు.
एनी पेदा-पेदा मराकुन सोंडोंमते उरहंता.		ఏనుగు తన తోండంతో పిల్లల పై నీరు జల్లుతుంది.
एन्‍कटा जमानाते लोकुल्‍क मन्नु/तोड़ी तिंचि पिस्‍तुर.	पुराने जमाने के लोग मिट्टी खाकर जिवित रहे।	
नीरे वाता बेरेडते एन्‍बै हारूं गोड़कु हासोत्तां.	पिछले वर्ष आयी बाढ़ में छियासी पालतू जानवर गुजर गये।	
मा नय्यु एबै उंदि वर्सां पिस्‍ता.	हमारा कुत्ता इक्यावन साल तक जिवित रहा।	
इय्यटाल एबै एनमिदि वर्सां मुन्ने मना देसेमकु स्वतंत्रम दोर्कुता.	आज से अट्ठावन साल पहले हमारे देस को आजादी मिली।	
इंका एबै तोम्मिदि रोजकु अय्ते दिवले वांता.	और उनसठ दिन के बाद दिपावली आयेगी.	
नना एबै नालूं रोजकुना हाटीं नागपूर होंचि मत्तन.	मै चौवन दिनों के लिये नागपूर गया था।	
नावा बाल एबै मूडु वर्सानोर मत्तोर.	मेरे पिताजी तिरपन साल के थे।	
एबै हारूं रोजकुंक नना मर्रा जोगनगुडा वांतन.	छप्‍पन दिन के बाद मै फिर जोगनगुडा आऊंगा।	
ओर एर कांजसेके मंतुर.	वे पानी ला रहे है।	వీరు చిన్న బిందెలతో నీళ్ళు తెస్తున్నారు.
कुहिता एते ब्‍लिचींग पावडर वाटतंका आ एतुन मंचि एर इंतुर.	कुए की पानी में ब्‍लिचींग पावडर डालने के बाद के पानी को अच्‍छा पानी कहते है।	
एनकटा लोकुल्‍क एरतुंगंना कॊलीते एर तुंगांकोंदुर.	पुराने जमाने के लोग स्‍नानगृह में स्‍नान नही करते थे।	
एरपाट मंचिगुडा एर्का हिल्‍ले इनामन्नी.	मालुम होते हूये भी मना नही करनी चाहीये।	
नूर वर्सना पोल्‍ले इदवेरा दाका एरपाट इर्रुडु गम्मति पोल्‍ले आयो.	सौ साल की बात को अभी तक याद रखना कोई मजाक बात नही।	
नॆदे इरगा पंटा पंडना इंचि एरवु वाटंतुर.	खेत में अच्‍छा फसल आने के लिये गोबर डालते है।	చేనులో పత్తి పంట వెయుటకు ఎరువు వేస్తారు.
अन्नी एरवुकुंकन्ना हडपी एरवुने मंचि पंटा पंडंता.	गोबर को खेत में अच्‍छे फसल के लिये उपयोग करते है।	
नॆदे इरगा पंटा पंडना इंचि एरवु वाटंतुर.	खेत में अच्‍छा फसल आने के लिये गोबर डालते है।	చేనులో పత్తి పంట వెయుటకు ఎరువు వేస్తారు.
एर्का मत्ता पोल्‍ले हिल्‍ले इनना आयो.	जो भी मालूम है वह बतानी चाहीये।	
रोजनद रोजे एर्का आयगोम इत्ते रोज पेपर हद्वगोम.	रोज की बात रोज मालूम होने के लिये हरदिन अख़बार पढ़नी चाहिये।	
एर्रापुडी गालमकु ताससि जिम्मां/मीन्‍क पींतुर.		వాన పాములను గాలనికి తగిలించి చేపలు పట్టుతారు.
कुसिर ताल्‍प/पॊय्‍सला एल्‍पाया वाटंतुर.	सब्‍जी बनाने को लसन उपयोगी है।	ఉల్లి పాయాలు కూరలో వేస్తారు.
नॆली कियनोर नॆदगा कबड किसेके म‍ंतोर.		వ్యవసాయము చేసేవాడు మడిళ్ళలో పనిచేస్తున్నాడు.
मिमेट अंटोर हकेरेने इग्‍गे एव्‍वट.	आप सब सबेरे यहाँ पहोंच जाओ।	మీరందరు ఇక్కడ ప్రొద్దునే చేరుకోవాలి.
जोन्ना गाटो अटनहाटीं मुन्ने एतून एसर वायागोट्टा पींता.	जवार का खाना पकाने से पहले पानी को उबल पड़ता है।	జొన్న అన్నము వండడానికి ముందు నీటిని వేడి చేయవలెను.
मरमींनगा पोल हुट्टानेंके नालूं ऐरेन अड़कां इर्रंतुर.		పెండ్లి పందిరిలో నాలుగు చిన్న కుండలు ఉంచుతారు.
निम्मे बोन तंतिनो ओर ओक्‍कला हायनय्ते नीकुन पोलिसुल्‍क ओंतुर.	तु जिसको मारा वह अगर मर गया तो तुझे पुलिस लेकर जायेंगें।	
सेदेपा मराता आकी इरगा सेदू मनंता.	कडूनीम का पत्ता बहोत कड़वा होता है।	
आबद्दम वड़कामन्नी इंचि ओट्टु पिया वेहंतुर.	झूठ नही बोलनी चाहीये इसलिये कसम खाने को बताते है।	
निम्मे कोत्तां मक्‍किचा हिलिन इंचि ओट्टु पीम.	तूने पैसे छुपाया नही करके कसम खा।	నీవు డబ్బులు దొంగతనము చేయలేదని ఒట్టు తీసుకొంటవా.
निम्मे कोत्तां मक्‍किचा हिलिन इंचि ओट्टु पीम.	तूने पैसे छुपाया नही करके कसम खा।	నీవు డబ్బులు దొంగతనము చేయలేదని ఒట్టు తీసుకొంటవా.
इरगा पिर वाते ओड्डू उर्लंता.		పెద్దవాన పడితే వాగు ఒడ్డు నిండ ప్రవహిస్తుంది.
मक्‍के हेन्‍कु तिननेंके वेल्‍ले मंदि ओड्‍हाचि तिंतुर.		చిక్కుడు కాయలు వండుటకు విరగొట్టుతారు.
कटुल्ते वेल्‍लेन मंदि उंदे मल्‍का उदुते दाना नॊंडे ओदोल आसी दांता.		మంచంలో ఎక్కువ మంది కూర్చుంటే నుల్కా వదులు అవుతుంది.
नडिक पॆंट गट्टिगा आते दान ओदोल कींतुर.	कमर में पैंट टइट होने से उसे ढिला करते है।	
अगा अर्सि मत्ता दस्‍तीगुड्डा ओनद आंद.	वहां पड़ा हुआ हाथरुमाल उसका है।	
आ दस्‍तीगुड्डा ओनदे अनि अद ओनद-ओरे पोगुट्‍कुत्तोर.	वह हाथरुमाल उसी का है, और वह स्वंय ही फेंक दिया।	
आ दस्‍तीगुड्डा ओनदे अनि अद ओनद-ओरे पोगुट्‍कुत्तोर.	वह हाथरुमाल उसी का है, और वह स्वंय ही फेंक दिया।	
तेडियसो-तेडियकनो तप आते ओप्‍पुकुन्‍मड़ मंचिदि.	गलती से अगर गलती हुई तो वह कबुलना बेहतर होगा।	
ओर हीके वासेके मंतोर/मंतुर.	वे/वो इधर आ रहे है/रहा है।	
अगा मनना कचलम ओरद आंद.	वह खटारा उनका है।	
अगा मनना कचलम ओरद आंद.	वह खटारा उनका है।	
कंका वेल्‍लेन कबाह्‍कुंक ओज्‍जंता.	बांस बहोत ही उपयोगी है।	వెదురు చాల పనికి వస్తుంది.
वेयवा हव्‍वीं तित्ते कक्‍का वांता.	बिना पकायें मटन खाने से उल्टी होता है।	
कच्‍चि दुकानकुनाल कच्‍चि मर्सुक,कसेह्‍क,कर्कु कियला एतांतुर.	लोह के दुकान से लोह कुल्‍हाड, चाकू वगैरा बनाने के लिये खरिदते है।	ఇనుము దుకాణములో కర్ర కొరకు ఇనుము తీసుకుంటారు.
